"sd_id","sd_model_name","sd_model_code","sd_maker","sd_release_date","sd_os","sd_sale_type","sd_display_cm","sd_display_in","sd_display_type","sd_display_resolution","sd_display_ppi","sd_display_hz","sd_display_aspect_ratio","sd_display_size","sd_display_width","sd_display_height","sd_display_hdr","sd_ap_type","sd_core","sd_core_clock","sd_gpu_core","sd_npu_dsp","sd_sensor_hub","sd_modem","sd_ram","sd_Builtin_memory","sd_storage","sd_external_memory","sd_5g","sd_4g","sd_wifi","sd_bluetooth","sd_satellite","sd_usim_type","sd_dual_usim","sd_camera_type","sd_back_camera","sd_front_camera","sd_camera_resolution","sd_flash","sd_photo_resolution","sd_front_resolution","sd_front_video_resolution","sd_camera_aperture","sd_hand_tremor_correction","sd_hand_tremor_protection","sd_camera_flash","sd_hdr_filming","sd_auto_hdr","sd_optical_zoom","sd_geotag","sd_laser_auto_focus","sd_auto_focus","sd_out_focus","sd_touch_focus","sd_panorama","sd_tof","sd_night_photography","sd_iphone_terminal","sd_speaker","sd_high_sound_quality","sd_sound_technology","sd_fingerprint","sd_face","sd_iris","sd_voice","sd_ai","sd_payment","sd_touch_pen","sd_dustproof","cs_etc","cs_charging_terminal","sd_battery","sd_battery_type1","sd_battery_type2","sd_battery_type3","sd_battery_terminal","sd_fast_charge","sd_wireless_charge","sd_color","sd_width","cs_height","cs_thickness","cs_weight"
"120","X4 Plus","LM-X415","lg",\n,"안드로이드7.1.2 누가","가개통/중고","13.46","5.3","IPS-LCD","1280x720","277",\n,"16:09",\n,\n,\n,\n,"스냅드래곤 425","쿼드(4)코어","1.4GHz","Adreno 308",\n,\n,\n,"2GB","32GB","eMMC","MicroSD",\n,"LTE Cat.4","802.11 a/b/g/n","v4.2",\n,"나노유심",\n,\n,"1,300만","500만",\n,\n,\n,\n,\n,\n,\n,\n,"○",\n,\n,\n,\n,\n,"○",\n,\n,\n,\n,\n,\n,"모노(1개)","32비트 음원재생",\n,"지문인식",\n,\n,\n,\n,"LG페이",\n,\n,\n,\n,"3000",\n,\n,"배터리일체형",\n,\n,\n,\n,"75.1","148.6","8.6","172.3"
"121","X6 2019","LM-X625","lg",\n,\n,\n,"15.9",\n,\n,\n,\n,\n,\n,\n,\n,\n,\n,\n,\n,\n,\n,\n,\n,\n,\n,\n,\n,\n,\n,\n,\n,\n,\n,\n,\n,\n,\n,\n,\n,\n,\n,\n,\n,\n,\n,\n,\n,\n,\n,\n,\n,\n,\n,\n,\n,\n,\n,\n,\n,\n,\n,\n,\n,\n,\n,\n,\n,\n,\n,\n,\n,\n,\n,\n,\n,\n,\n,\n,\n,\n,\n,\n,\n,\n
"122","X4 2019","LM-X420","lg",\n,"안드로이드8.1 오레오","가개통/중고","14.47","5.7","IPS-LCD","1440x720","282","60Hz","18:09",\n,\n,\n,\n,"미디어텍MT6762","옥타(8)코어","2.0GHz","PowerVR GE8320",\n,\n,\n,"2GB","32GB","eMMC","MicroSD",\n,"LTE-A Cat.6","Wi-Fi","v5.0",\n,"나노유심",\n,\n,"1,600만","800만",\n,\n,\n,\n,\n,"F2.0",\n,\n,"○",\n,\n,\n,\n,\n,"○","○",\n,\n,\n,\n,"3.5mm",\n,"32비트 음원재생",\n,"지문인식(후면)",\n,\n,\n,"구글 어시스턴트","LG페이",\n,\n,\n,"마이크로5핀","3000",\n,\n,"배터리일체형",\n,\n,\n,\n,"71.9","153","8.3","145"
"123","X2 2019","LM-X220","lg",\n,"안드로이드9.0 파이","가개통/중고","13.84","5.45",\n,"1440x720","295","60Hz",\n,\n,\n,\n,\n,"스냅드래곤425","쿼드(4)코어","1.4GHz",\n,\n,\n,\n,"2GB","32GB","eMMC","microSD:최대2TB",\n,"LTE Cat.4","Wi-Fi",\n,\n,"나노유심",\n,\n,"1,300만","500만",\n,\n,\n,\n,\n,\n,\n,\n,"○",\n,\n,\n,\n,\n,"○",\n,\n,\n,\n,\n,\n,\n,\n,\n,\n,\n,\n,\n,"구글 어시스턴트",\n,\n,\n,\n,\n,"3000",\n,\n,"배터리일체형",\n,\n,\n,\n,"71.5","147","8.2","147"
"124","X2 2018","LM-X210","lg",\n,"안드로이드7.1.2 누가","가개통/중고","12.7","5","IPS-LCD","1280x720","294","60Hz","5:03",\n,\n,\n,\n,"스냅드래곤212","쿼드(4)코어","1.3GHz","Adreno 304",\n,\n,\n,"2GB","16GB",\n,"MicroSD",\n,"LTE Cat.4","802.11 b/g/n","v4.2",\n,"나노유심",\n,\n,"800만","500만",\n,\n,\n,\n,\n,\n,\n,\n,"○",\n,\n,\n,\n,\n,"○",\n,\n,\n,\n,\n,\n,"모노(1개)",\n,\n,\n,\n,\n,\n,\n,\n,\n,\n,\n,"마이크로5핀","2500",\n,\n,"배터리탈착형",\n,\n,\n,\n,"73.2","146.6","8.2","152"
"125","X401","LGM-X401","lg",\n,\n,\n,"13.46",\n,\n,\n,\n,\n,\n,\n,\n,\n,\n,\n,\n,\n,\n,\n,\n,\n,\n,\n,\n,\n,\n,\n,\n,\n,\n,\n,\n,\n,\n,\n,\n,\n,\n,\n,\n,\n,\n,\n,\n,\n,\n,\n,\n,\n,\n,\n,\n,\n,\n,\n,\n,\n,\n,\n,\n,\n,\n,\n,\n,\n,\n,\n,\n,\n,\n,\n,\n,\n,\n,\n,\n,\n,\n,\n,\n,\n
"126","X300","LGM-K120","lg",\n,"안드로이드7.0 누가","가개통/중고",\n,"5","LCD","1280x720","294",\n,\n,"78.50%",\n,\n,\n,"스냅드래곤425","쿼드(4)코어","1.4GHz","Adreno 308",\n,\n,\n,"2GB","16GB","eMMC","MicroSD",\n,"LTE Cat.4","802.11 b/g/n","v4.2",\n,"나노유심",\n,\n,"1,300만","500만",\n,\n,\n,\n,\n,"F2.2",\n,\n,"○",\n,\n,\n,\n,\n,"○",\n,\n,\n,\n,\n,"3.5mm","모노(1개)",\n,\n,\n,\n,\n,\n,\n,\n,\n,\n,\n,"마이크로5핀","2500",\n,\n,"배터리탈착형",\n,\n,\n,\n,"72.1","144.8","8.09","142"
"127","X5","LG-F770","lg",\n,"안드로이드6.0 마쉬멜로우","가개통/중고","13.97","5.5","IPS-LCD","1280x720","270",\n,\n,\n,\n,\n,\n,\n,"쿼드(4)코어","1.3GHz",\n,\n,\n,\n,"2GB","16GB","eMMC","MicroSD",\n,"LTE","802.11 b/g/n","v4.2",\n,\n,\n,\n,"1,300만","500만","1080p(FHD),30fps",\n,\n,\n,\n,\n,\n,\n,"○","○",\n,\n,"○",\n,"○",\n,"○",\n,\n,\n,"3.5mm",\n,\n,\n,\n,\n,\n,\n,\n,\n,\n,\n,\n,"마이크로5핀","2800",\n,\n,"배터리탈착형",\n,\n,\n,\n,"76.9","151.6","7.2","133"
"128","X스킨","LG-F740","lg",\n,"안드로이드6.0 마쉬멜로우","가개통/중고","12.7","5",\n,"1280x720","293",\n,\n,\n,\n,\n,\n,"스냅드래곤210","쿼드(4)코어","1.1GHz","Adreno 304",\n,\n,\n,"1.5GB","16GB","eMMC",\n,\n,"LTE Cat.4",\n,\n,\n,\n,\n,\n,"800만","500만","720p(HD),30fps",\n,\n,\n,\n,\n,\n,\n,"○","○",\n,\n,"○",\n,"○",\n,"○",\n,\n,\n,"3.5mm",\n,\n,\n,\n,\n,\n,\n,\n,\n,\n,\n,\n,\n,"2100",\n,\n,"배터리탈착형",\n,\n,\n,\n,"71.4","144.8","6.9","122"
"129","넥서스 5x","LG-H791","lg",\n,"안드로이드6.0 마쉬멜로우","해외구매-새제품","13.22","5.2",\n,"1920x1080","423",\n,\n,\n,\n,\n,\n,\n,"헥사(6)코어","1.8GHz",\n,\n,\n,\n,"2GB","32GB",\n,"MicroSD 미지원",\n,"LTE-A Cat.6","802.11 a/b/g/n/ac","v4.2",\n,"나노유심",\n,\n,"1,230만","500만","2160p(UHD),30fps",\n,\n,\n,\n,\n,\n,\n,"○",\n,\n,\n,\n,\n,"○",\n,"○",\n,\n,\n,"3.5mm",\n,\n,\n,"지문인식",\n,\n,\n,\n,\n,\n,\n,\n,"마이크로5핀","2700",\n,\n,"배터리일체형",\n,"퀵차지2.0",\n,\n,"72.6","147","7.9","136"
"130","와인 스마트 재즈","LG-F610","lg",\n,"안드로이드5.1 롤리팝","가개통/중고","8.12","3.2","LCD","480x320",\n,\n,\n,\n,\n,\n,\n,\n,"쿼드(4)코어","1.1GHz",\n,\n,\n,\n,"1GB","4GB","eMMC","MicroSD",\n,"LTE","802.11 b/g/n","v4.0",\n,"마이크로유심",\n,\n,"300만","VGA",\n,\n,\n,\n,\n,\n,\n,\n,\n,\n,\n,\n,\n,\n,\n,\n,\n,\n,\n,\n,"3.5mm",\n,\n,\n,\n,\n,\n,\n,\n,\n,\n,\n,\n,\n,"1700",\n,\n,"배터리탈착형",\n,\n,\n,\n,"58.7","117.7","16.6",\n
"131","와인 스마트","LG-F480","lg",\n,"안드로이드4.4 킷캣","가개통/중고","8.89","3.5","IPS-LCD","480x320","166",\n,\n,\n,\n,\n,\n,\n,"쿼드(4)코어","1.2GHz",\n,\n,\n,\n,"1GB","4GB","eMMC","MicroSD",\n,"LTE","802.11 b/g/n","v4.0",\n,"마이크로유심",\n,\n,"800만","VGA",\n,\n,\n,\n,\n,\n,\n,\n,\n,\n,\n,\n,\n,\n,\n,\n,\n,\n,\n,\n,"3.5mm",\n,\n,\n,\n,\n,\n,\n,\n,\n,\n,\n,\n,\n,"1700",\n,\n,"배터리탈착형",\n,\n,\n,\n,"59.4","118.6","16.9",\n
"132","아이폰SE(2020)","A2775","apple",\n,"iOS13","공기계-새제품","11.93","4.7","IPS-LCD","1334x750","326","60Hz","16:09","65.40%",\n,\n,\n,"애플A13","헥사(6)코어","2.65GHz+1.8GHz","APPLE G11P",\n,\n,\n,"3GB","128GB","NVMe",\n,\n,"LTE-A Cat.19","802.11 a/b/g/n/ac/ax","v5.0",\n,"나노유심",\n,\n,"1,200만","700만","4K,60fps",\n,\n,\n,\n,"F1.8","광학식손떨림보정(OIS)+전자식손떨림보정(EIS)","○","○","○",\n,\n,\n,\n,"○",\n,\n,"○",\n,\n,\n,"스테레오(2개)",\n,\n,"지문인식",\n,\n,\n,"Siri","애플페이(국내미지원)",\n,"IP67",\n,"라이트닝8핀","1821",\n,\n,"배터리일체형","최대18W","고속충전지원","Qi무선충전",\n,"67.3","138.4","7.3","148"
"133","갤럭시 A80","SM-A805","samsung",\n,"안드로이드9.0 파이","가개통/중고","17.02","6.7","S-AMOLED","2400x1080","393","60Hz","20:09","85.80%",\n,\n,\n,"스냅드래곤730","옥타(8)코어","2.2GHz+1.8GHz","Adreno 618",\n,\n,\n,"8GB","128GB",\n,"MicroSD 미지원",\n,"LTE-A Cat.11","802.11 a/b/g/n/ac","v5.0",\n,"나노유심",\n,\n,"4,800만+800만+TOF 3D","4,800만+800만+TOF 3D","2160p(UHD),30fps",\n,\n,\n,\n,"F2.0","전자식손떨림보정(EIS)","○","○","○",\n,\n,\n,\n,"○",\n,\n,\n,"○",\n,\n,"모노(1개)",\n,\n,"지문인식(온스크린)",\n,\n,\n,\n,\n,\n,\n,\n,"USB타입C","3700",\n,\n,"배터리일체형","최대25W","고속충전지원",\n,\n,"76.5","165.2","9.3","220"
"134","갤럭시 Z플립","SM-F700","samsung",\n,"안드로이드10","공기계-새제품","17.02","6.7","D-AMOLED","2636x1080","425","60Hz","20:09","82.50%",\n,\n,"HDR10+","스냅드래곤865+","옥타(8)코어","3.09GHz+2.4GHz+1.8GHz","Adreno 650",\n,\n,\n,"8GB","256GB","UFS3.0","MicroSD 미지원","5G NR","LTE-A Cat.20","802.11 a/b/g/n/ac/ax","v5.0",\n,"나노유심",\n,\n,"1,200만+1,200만","1,000만","4k,30fps",\n,\n,\n,\n,"F1.8","광학식손떨림보정(OIS)","○","○","○",\n,\n,\n,\n,"○",\n,\n,"○",\n,\n,\n,"모노(1개)","32비트 음원재생",\n,"지문인식(측면)",\n,\n,\n,\n,"삼성페이",\n,\n,\n,"USB타입C","3300",\n,\n,"배터리일체형","최대15W","고속충전지원","Qi무선충전: 최대9W",\n,"73.6","167.3","7.2","183"
"135","갤럭시 S20","SM-G981","samsung",\n,"안드로이드10","공기계-새제품","16.51","6.5","S-AMOLED","2400x1080","407","120Hz","20:09","84.80%",\n,\n,"HDR10+","스냅드래곤865","옥타(8)코어","2.84GHz+2.42GHz+1.8GHz","Adreno 650",\n,\n,\n,"6GB","128GB","UFS3.1","microSD:최대1TB","5G NR","LTE-A Cat.19","802.11 a/b/g/n/ac/ax","v5.0",\n,"나노유심",\n,\n,"1,200만+1,200만+800만","3,200만","4K,60fps",\n,\n,\n,\n,"F1.8","광학식손떨림보정(OIS)+전자식손떨림보정(EIS)","○","○",\n,"○","○",\n,\n,"○",\n,\n,"○",\n,\n,\n,"스테레오(2개)","32비트 음원재생",\n,"지문인식(온스크린)",\n,\n,\n,"빅스비","삼성페이",\n,"IP68",\n,"USB타입C","4500",\n,\n,"배터리일체형","최대25W","USB PD3.0","Qi무선충전: 최대15W",\n,"74.5","159.8","8.4","190"
"136","갤럭시 S20 Plus","SM-G986","samsung",\n,"안드로이드10","가개통/중고",\n,"6.7","D-AMOLED","3200x1440","525","120Hz","20:09","90.50%",\n,\n,"HDR10+","스냅드래곤865","옥타(8)코어","2.84GHz+2.42GHz+1.8GHz","Adreno 650",\n,\n,\n,"12GB","256GB","UFS3.0","microSD:최대1TB","5G NR","LTE-A Cat.20","802.11 a/b/g/n/ac/ax","v5.0",\n,"나노유심",\n,\n,"6,400만+1,200만+1,200만+30만","1,000만","8K,24fps",\n,\n,\n,\n,"F1.8","광학식손떨림보정(OIS)+전자식손떨림보정(EIS)","○",\n,\n,"○","○",\n,\n,"○",\n,\n,"○","○","○",\n,"스테레오(2개)","32비트 음원재생",\n,"지문인식(온스크린)","얼굴인식",\n,\n,"빅스비","삼성페이",\n,"IP68",\n,"USB타입C","4500",\n,\n,"배터리일체형","최대25W","USB PD3.0","Qi무선충전: 최대15W",\n,"73.7","161.9","7.8","188"
"137","갤럭시 S20 울트라","SM-G988","samsung",\n,"안드로이드10","통신사가입-SKT","17.53","6.9","D-AMOLED","3200x1440","511","120Hz","20:09","89.90%",\n,\n,"HDR10+","스냅드래곤865","옥타(8)코어","2.84GHz+2.42GHz+1.8GHz","Adreno 650",\n,\n,\n,"12GB","256GB","UFS3.0","microSD:최대1TB","5G NR","LTE-A Cat.20","802.11 a/b/g/n/ac/ax","v5.0",\n,"나노유심",\n,\n,"1억800만+4,800만+1,200만+30만","4,000만","8K,24fps",\n,\n,\n,\n,"F1.8","광학식손떨림보정(OIS)+전자식손떨림보정(EIS)",\n,\n,\n,\n,\n,\n,\n,\n,\n,\n,\n,\n,\n,\n,"스테레오(2개)","32비트 음원재생",\n,"지문인식(온스크린)","얼굴인식",\n,\n,"빅스비","삼성페이",\n,"IP68",\n,"USB타입C","5000",\n,\n,"배터리일체형","최대45W","USB PD3.0","Qi무선충전: 최대15W",\n,"76","166.9","8.8","222"
"138","벨벳","LM-G900","lg",\n,"안드로이드10","공기계-새제품","17.2","6.8","OLED","2460x1080","395","60Hz","20.5:9","88.60%",\n,\n,\n,"스냅드래곤765","옥타(8)코어","2.3GHz+2.2GHz+1.8GHz","Adreno 620",\n,\n,\n,"8GB","128GB","UFS2.1","microSD:최대2TB",\n,"LTE-A Cat.18","802.11 a/b/g/n/ac","v5.1",\n,"나노유심",\n,\n,"4,800만+800만+500만","1,600만","2160p(UHD)",\n,\n,\n,\n,"F1.8","전자식손떨림보정(EIS)","○","○","○",\n,\n,\n,\n,"○",\n,\n,"○",\n,\n,"3.5mm","스테레오(2개)",\n,\n,"지문인식(온스크린)",\n,\n,\n,\n,"LG페이","4096단계 필압(별매)","IP68",\n,"USB타입C","4300",\n,\n,"배터리일체형","최대30W","USB PD2.0/퀵차지4+","Qi무선충전: 최대10W",\n,"74.1","167.2","7.9","180"
"139","Q51","LM-Q510","lg",\n,"안드로이드9.0 파이","공기계-새제품","16.51","6.5","IPS-LCD","1560x720","259","60Hz","19:09","82.70%",\n,\n,\n,"미디어텍MT6762","옥타(8)코어","2.0GHz","PowerVR GE8320",\n,\n,\n,"3GB","32GB","eMMC5.1","microSD:최대2TB",\n,"LTE-A Cat.7","802.11 a/b/g/n/ac","v5.0",\n,"나노유심",\n,\n,"1,300만+500만+200만","1,300만","1080p(FHD),30fps",\n,\n,\n,\n,\n,\n,\n,"○","○",\n,\n,\n,\n,"○",\n,\n,"○",\n,\n,"3.5mm","스테레오(2개)",\n,\n,"지문인식(후면)",\n,\n,\n,"구글 어시스턴트","LG페이",\n,\n,\n,"USB타입C","4000",\n,\n,"배터리일체형",\n,\n,\n,\n,"77.9","166.9","8.4","204"
"140","LG폴더2","LM-Y120","lg",\n,"안드로이드","가개통/중고","7.11","2.8","IPS-LCD","320x240","143","60Hz","4:03","40.90%",\n,\n,\n,"스냅드래곤210","쿼드(4)코어","1.1GHz","Adreno 304",\n,\n,\n,"1GB","8GB",\n,"MicroSD",\n,"LTE Cat.4","802.11 b/g/n",\n,\n,"나노유심",\n,\n,"200만",\n,\n,\n,\n,\n,\n,\n,\n,\n,\n,\n,\n,\n,\n,\n,\n,\n,\n,\n,\n,\n,\n,"모노(1개)",\n,\n,\n,\n,\n,\n,\n,\n,\n,\n,\n,\n,"1470",\n,\n,"배터리탈착형",\n,\n,\n,\n,"55","107.9","18","127"
"141","Q61","LM-Q630","lg",\n,"안드로이드9.0 파이","가개통/중고","16.59","6.53","IPS-LCD","2340x1080","395","60Hz","19.5:9","82.10%",\n,\n,\n,"미디어텍MT6765","옥타(8)코어","2.3GHz+1.8GHz","PowerVR GE8320",\n,\n,\n,"4GB","64GB","eMMC","microSD:최대2TB",\n,"LTE-A Cat.6","802.11 a/b/g/n/ac","v5.0",\n,"나노유심",\n,\n,"4,800만+800만+500만+200만","1,600만","1080p(FHD),30fps",\n,\n,\n,\n,"F1.8",\n,\n,"○","○",\n,\n,\n,\n,"○",\n,\n,"○",\n,\n,"3.5mm","모노(1개)",\n,\n,"지문인식(후면)",\n,\n,\n,"구글 어시스턴트","LG페이",\n,\n,\n,"USB타입C","4000",\n,\n,"배터리일체형",\n,\n,\n,\n,"77.5","164.5","8.3","192"
"142","갤럭시 A31","SM-A315","samsung",\n,"안드로이드10","공기계-새제품","16.25","6.4","S-AMOLED","2400x1080","411","60Hz","20:09","84.90%",\n,\n,\n,"미디어텍MT6768","옥타(8)코어","2.0GHz+1.7GHz","Mali G52",\n,\n,\n,"4GB","64GB",\n,"microSD:최대512GB",\n,"LTE-A Cat.6","802.11 a/b/g/n/ac","v5.0",\n,"나노유심",\n,\n,"4,800만+800만+500만+500만","2,000만","1080p(FHD),30fps",\n,\n,\n,\n,"F2.0",\n,\n,"○","○",\n,\n,\n,\n,"○",\n,\n,"○",\n,\n,"3.5mm","모노(1개)",\n,\n,"지문인식(온스크린)",\n,\n,\n,\n,"삼성페이",\n,\n,\n,"USB타입C","5000",\n,\n,"배터리일체형","최대15W","고속충전지원",\n,\n,"73.1","159.3","8.6","186"
"143","갤럭시 A51","SM-A516","samsung",\n,"안드로이드10","공기계-새제품","16.51","6.5","S-AMOLED","2400x1080","405","60Hz","20:09","87.20%",\n,\n,\n,"엑시노스980","옥타(8)코어","2.2GHz+1.8GHz","Mali G76",\n,\n,\n,"6GB","128GB","UFS2.0","microSD:최대1TB","5G NR","LTE-A Cat.16","802.11 a/b/g/n/ac","v5.0",\n,"나노유심",\n,\n,"4,800만+1,200만+500만+500만","3,200만","4k,30fps",\n,\n,\n,\n,"F2.0","전자식손떨림보정(EIS)","○","○","○",\n,\n,\n,\n,"○",\n,\n,"○",\n,\n,"3.5mm","모노(1개)",\n,\n,"지문인식(온스크린)",\n,\n,\n,\n,"삼성페이",\n,\n,\n,"USB타입C","4500",\n,\n,"배터리일체형","최대15W","고속충전지원",\n,\n,"73.6","158.9","8.7","187"
"144","갤럭시 A퀀텀","SM-A716","samsung",\n,"안드로이드10","통신사가입-SKT","17.02","6.7","S-AMOLED","2400x1080","393","60Hz","20:09","88.30%",\n,\n,\n,"엑시노스980","옥타(8)코어","2.2GHz+1.8GHz","Mali G76",\n,\n,\n,"8GB","128GB","UFS2.1","MicroSD","5G NR","LTE-A Cat.16","802.11 a/b/g/n/ac","v5.0",\n,"나노유심",\n,\n,"6,400만+1,200만+500만+500만","3,200만","2160p(UHD),30fps",\n,\n,\n,\n,"F1.8","전자식손떨림보정(EIS)",\n,\n,\n,\n,\n,\n,\n,\n,\n,\n,\n,\n,\n,"3.5mm","모노(1개)",\n,\n,"지문인식(온스크린)",\n,\n,\n,\n,\n,\n,\n,\n,"USB타입C","4500",\n,\n,"배터리일체형","최대25W","고속충전지원",\n,\n,"75.5","162.5","8.1","185"
"145","갤럭시S20 FE","SM-G781","samsung",\n,"안드로이드10","공기계-새제품","16.51","6.5","S-AMOLED","2400x1080","407","120Hz","20:09","84.80%",\n,\n,"HDR10+","스냅드래곤865","옥타(8)코어","2.84GHz+2.42GHz+1.8GHz","Adreno 650",\n,\n,\n,"6GB","128GB","UFS3.1","microSD:최대1TB","5G NR","LTE-A Cat.19","802.11 a/b/g/n/ac/ax","v5.0",\n,"나노유심",\n,\n,"1,200만+1,200만+800만","3,200만","4K,60fps",\n,\n,\n,\n,"F1.8","광학식손떨림보정(OIS)+전자식손떨림보정(EIS)","○","○",\n,"○","○",\n,\n,"○",\n,\n,"○",\n,\n,\n,"스테레오(2개)","32비트 음원재생",\n,"지문인식(온스크린)",\n,\n,\n,"빅스비","삼성페이",\n,"IP68",\n,"USB타입C","4500",\n,\n,"배터리일체형","최대25W","USB PD3.0","Qi무선충전: 최대15W",\n,"74.5","159.8","8.4","190"
"146","갤럭시노트20","SM-N981","samsung",\n,"안드로이드10","공기계-새제품","17.53","6.9","D-AMOLED","3088x1440","496","120Hz","19.3:9","91.70%",\n,\n,"HDR10+","스냅드래곤865+","옥타(8)코어","3.0GHz+2.42GHz+1.8GHz","Adreno 650",\n,\n,\n,"12GB","256GB","UFS3.1","microSD:최대1TB","5G NR","LTE-A Cat.20","802.11 a/b/g/n/ac/ax","v5.0",\n,"나노유심",\n,\n,"1억800만+1,200만+1,200만","1,000만","8K,24fps",\n,\n,\n,\n,"F1.8","광학식손떨림보정(OIS)+전자식손떨림보정(EIS)","○","○",\n,"○","○",\n,"○","○",\n,\n,"○",\n,\n,\n,"스테레오(2개)","32비트 음원재생",\n,"지문인식(온스크린)",\n,\n,\n,"빅스비","삼성페이","4096단계 필압","IP68",\n,"USB타입C","4500",\n,\n,"배터리일체형","최대25W","USB PD3.0","Qi무선충전",\n,"77.2","164.8","8.1","208"
"147","갤럭시노트20 울트라","SM-N986","samsung",\n,"안드로이드10","공기계-새제품","17.53","6.9","D-AMOLED","3088x1440","496","120Hz","19.3:9","91.70%",\n,\n,"HDR10+","스냅드래곤865+","옥타(8)코어","3.0GHz+2.42GHz+1.8GHz","Adreno 650",\n,\n,\n,"12GB","256GB","UFS3.1","microSD:최대1TB","5G NR","LTE-A Cat.20","802.11 a/b/g/n/ac/ax","v5.0",\n,"나노유심",\n,\n,"1억800만+1,200만+1,200만","1,000만","8K,24fps",\n,\n,\n,\n,"F1.8","광학식손떨림보정(OIS)+전자식손떨림보정(EIS)","○","○",\n,"○","○",\n,"○","○",\n,\n,"○",\n,\n,\n,"스테레오(2개)","32비트 음원재생",\n,"지문인식(온스크린)",\n,\n,\n,"빅스비","삼성페이","4096단계 필압","IP68",\n,"USB타입C","4500",\n,\n,"배터리일체형","최대25W","USB PD3.0","Qi무선충전",\n,"77.2","164.8","8.1","208"
"148","Q31","LM-Q310","lg",\n,"안드로이드10","공기계-새제품","14.47","5.7","IPS-LCD","1520x720","295","60Hz","19:09","77.20%",\n,\n,\n,"미디어텍MT6762","옥타(8)코어","2.0GHz","PowerVR GE8320",\n,\n,\n,"3GB","32GB","eMMC5.1","microSD:최대2TB",\n,"LTE","802.11 b/g/n","v5.0",\n,"나노유심",\n,\n,"1,300만+500만","500만","1080p(FHD),30fps",\n,\n,\n,\n,"F1.8",\n,\n,"○","○",\n,\n,\n,\n,"○",\n,\n,"○",\n,\n,"3.5mm","모노(1개)",\n,\n,\n,\n,\n,\n,\n,\n,\n,\n,\n,"마이크로5핀","3000",\n,\n,"배터리일체형",\n,\n,\n,\n,"71","147.9","8.7","145"
"149","Q52","LM-Q520","lg",\n,"안드로이드10","공기계-새제품","16.76","6.6","IPS-LCD","1600x720","266","60Hz","20:09","83.10%",\n,\n,\n,"미디어텍MT6765","옥타(8)코어","2.3GHz+1.8GHz","PowerVR GE8320",\n,\n,\n,"4GB","64GB","eMMC5.1","microSD:최대2TB",\n,"LTE","802.11 a/b/g/n/ac","v5.0",\n,"나노유심",\n,\n,"4,800만+500만+200만+200만","1,300만","1080p(FHD),30fps",\n,\n,\n,\n,"F1.8",\n,\n,"○","○",\n,\n,\n,\n,"○",\n,\n,"○",\n,\n,"3.5mm","모노(1개)",\n,\n,"지문인식(측면)",\n,\n,\n,\n,"LG페이",\n,\n,\n,"USB타입C","4000",\n,\n,"배터리일체형",\n,\n,\n,\n,"76.7","165","8.4","188"
