sc_id,sc_model_name,sc_model_code,sc_maker,sc_release_date,sc_os,sc_sale_type,sc_display_cm,sc_display_in,sc_display_type,sc_display_resolution,sc_display_ppi,sc_display_hz,sc_display_aspect_ratio,sc_display_size,sc_display_width,sc_display_height,sc_display_hdr,sc_ap_type,sc_core,sc_core_clock,sc_gpu_core,sc_npu_dsp,sc_sensor_hub,sc_modem,sc_ram,sc_Builtin_memory,sc_storage,sc_external_memory,sc_5g,sc_4g,sc_wifi,sc_bluetooth,sc_satellite,sc_usim_type,sc_dual_usim,sc_camera_type,sc_back_camera,sc_front_camera,sc_camera_resolution,sc_flash,sc_photo_resolution,sc_front_resolution,sc_front_video_resolution,sc_camera_aperture,sc_hand_tremor_correction,sc_hand_tremor_protection,sc_camera_flash,sc_hdr_filming,sc_auto_hdr,sc_optical_zoom,sc_geotag,sc_laser_auto_focus,sc_auto_focus,sc_out_focus,sc_touch_focus,sc_panorama,sc_tof,sc_night_photography,sc_iphone_terminal,sc_speaker,sc_high_sound_quality,sc_sound_technology,sc_fingerprint,sc_face,sc_iris,sc_voice,sc_ai,sc_payment,sc_touch_pen,sc_dustproof,sn_etc,sn_charging_terminal,sc_battery,sc_battery_type1,sc_battery_type2,sc_battery_type3,sc_battery_terminal,sc_fast_charge,sc_wireless_charge,sc_color,sc_width,sc_height,sc_thickness,sc_weight
1,아이폰11,A2221,apple,2019. 09,iOS 13,,,6.1,IPS,828 x 1792,324,,,,64.99,140.65,,Apple A13 Bionic APL1W85,6개 (64 비트),2650MHz,,,,,4 GB,64GB/128GB/256GB,,,,4G,,5,,나노유심,,,,,,Dual LED,4032 x 3024 (12.2 메가픽셀),4032 x 3024 (12.2 메가픽셀),3840 x 2160 60 FPS,F/1.8,,,,,,,,,,,,,,,,,,,,,,,,apple pay,,,,,3110,Li-Ion,,"급속충전
일체형",,,무선충전 지원,,75.7,150.9,8.3,"194"
2,아이폰11 Pro,A2215,apple,2019. 09,iOS 13,,,5.8,OLED,1125 x 2436,463,,,,61.77,133.75,,Apple A13 Bionic APL1W85,6개 (64 비트),2650MHz,,,,,4 GB,64GB/256GB/512GB,,,,4G,,5,,나노유심,,,,,,LED,4032 x 3024 (12.2 메가픽셀),4032 x 3024 (12.2 메가픽셀),3840 x 2160 60 FPS,F/1.8,,,,,,,,,,,,,,,,,,,,,,,,apple pay,,,,,3190,Li-Ion,,"급속충전
일체형",,,무선충전 지원,,71.4,144,8.1,"188"
3,아이폰11 Pro Max,A2218,apple,2019. 09,iOS 13,,,6.5,OLED,1242 x 2688,456,,,,69.25,149.87,,Apple A13 Bionic APL1W85,6개 (64 비트),2650MHz,,,,,4 GB,64GB/256GB/512GB,,,,4G,,5,,나노유심 ,,,,,,Dual LED,4032 x 3024 (12.2 메가픽셀),4032 x 3024 (12.2 메가픽셀),3840 x 2160 60 FPS,F/1.8,,,,,,,,,,,,,,,,,,,,,,,,apple pay,,,,,3500,Li-Ion,,"급속충전
일체형",,,무선충전 지원,,77.8,158,8.1,"226"
4,아이폰Xs,A2097,apple,2018. 09,iOS 12,,,5.8,OLED,1125 x 2436,463,,,,61.77,133.75,,Apple A12 Bionic APL1W81,6개 (64 비트),2500MHz,,,,,4 GB,64GB/256GB/512GB,,,,4G,,5,,나노유심,,,,,,,4032 x 3024 (12.2 메가픽셀),3088 x 2316 (7.2 메가픽셀),60 FPS,F/1.8,,,,,,,,,,,,,,,,,,,,FaceID,,,,apple pay,,,,,2658,Li-Ion,,"급속충전
일체형",,,무선충전 지원,,70.9,143.6,7.7,"177"
5,아이폰Xs Max,A2101,apple,2018. 09,iOS 12,,,6.5,OLED,1242 x 2688,456,,,,69.25,149.87,,Apple A12 Bionic APL1W81,6개 (64 비트),2500MHz,,,,,4 GB,64GB/256GB/512GB,,,,4G,,5,,나노유심,,,,,,,4032 x 3024 (12.2 메가픽셀),3088 x 2316 (7.2 메가픽셀),60 FPS,F/1.8,,,,,,,,,,,,,,,,,,,,FaceID,,,,apple pay,,,,,3174,Li-Ion,,"급속충전
일체형",,,무선충전 지원,,77.4,157.5,7.9,"208"
6,아이폰Xr,A2105,apple,2018. 09,iOS 12,,,6.1,IPS,828 x 1792,324,,,,64.99,140.65,,Apple A12 Bionic APL1W81,6개 (64 비트),2500MHz,,,,,3 GB,64GB/128GB/256GB,,,,4G,,5,,나노유심,,,,,,,4032 x 3024 (12.2 메가픽셀),3088 x 2316 (7.2 메가픽셀),60 FPS,F/1.8,,,,,,,,,,,,,,,,,,,,FaceID,,,,apple pay,,,,,2942,Li-Ion,,"급속충전
일체형",,,무선충전 지원,,75.7,150.9,8.3,"194"
7,아이폰X,A1901,apple,2017. 11,iOS 11,,,5.8,OLED,1125 x 2436,463,,,,61.77,133.75,,Apple A11 Bionic APL1W72,6개 (64 비트),2100MHz,,,,,3 GB,64GB/256GB,,,,4G,,5,,나노유심,,,,,,,4032 x 3024 (12.2 메가픽셀),3088 x 2320 (7.2 메가픽셀),3840 x 2160 60 FPS,F/1.8,,,,,,,,,,,,,,,,,,,,FaceID,,,,Apple Pay,,,,,2716,Li-Ion,,"급속충전
일체형",,,무선충전 지원,,70.9,143.6,7.7,"174"
8,아이폰8,A1905,apple,2017. 09,iOS 11,,,4.7,IPS,750 x 1334,326,,,,58.51,104.06,,Apple A11 Bionic APL1W72,6개 (64 비트),2100MHz,,,,,2 GB,64GB/256GB,,,,4G,,5,,나노유심,,,,,,,4032 x 3024 (12.2 메가픽셀),,30 FPS,F/1.8,,,,,,,,,,,,,,,,,,,지문인식,,,,,apple pay,,,,,1821,Li-Ion,,"급속충전
일체형",,,무선충전 지원,,67.3,138.4,7.3,"148"
9,아이폰8 Plus,A1897,apple,2017. 09,iOS 11,,,5.5,IPS,1080 x 1920,401,,,,68.49,121.76,,Apple A11 Bionic APL1W72,6개 (64 비트),2100MHz,,,,,3 GB,64GB/256GB,,,,4G,,5,,나노유심,,,,,,,4032 x 3024 (12.2 메가픽셀),,30 FPS,F/1.8,,,,,,,,,,,,,,,,,,,지문인식,,,,,apple pay,,,,,2691,Li-Ion,,"급속충전
일체형",,,무선충전 지원,,78.1,158.4,7.5,"202"
10,아이폰7,A1778,apple,2016. 10,iOS 10 | iOS 11.4,,,4.7,IPS,750 x 1334,326,,,,58.51,104.06,,Apple A10 Fusion APL1W24,4개 (64 비트),2370MHz,PowerVR,,,,2 GB,32GB/128GB/256GB,,,,4G,,4.2,,나노유심,,,,,,,4032 x 3024 (12.2 메가픽셀),3088 x 2320 (7.2 메가픽셀),3840 x 2160 30 FPS,F/1.8,,,,,,,,,,,,,,,,,,,지문인식,,,,,apple pay,,,,,1960,Li-Ion,,일체형,,,,,67.1,138.3,7.1,"138"
11,아이폰7 Plus,A1784,apple,2016. 10,iOS 10 | iOS 11.4,,,5.5,IPS,1080 x 1920,401,,,,68.49,121.76,,Apple A10 Fusion APL1W24,4개 (64 비트),2370MHz,PowerVR,,,,3 GB,32GB/128GB/256GB,,,,4G,,4.2,,나노유심,,,,,,,4032 x 3024 (12.2 메가픽셀),3088 x 2320 (7.2 메가픽셀),3840 x 2160 30 FPS,F/1.8 - 2.8,,,,,,,,,,,,,,,,,,,지문인식,,,,,apple pay,,,,,2900,Li-Ion,,일체형,,,,,77.9,158.2,7.3,"188"
12,아이폰SE,A1723,apple,2016. 05,iOS 9.3,,,4,IPS,640 x 1136,326,,,,49.87,88.52,,Apple A9 APL0898,2개 (64 비트),1840MHz,PowerVR GT7600,,,,2 GB,16GB/32GB/64GB/128GB,,,,4G,802.11a/b/g/n/ac,4.2,,나노유심 ,,,,,,Dual LED,4032 x 3024 (12.2 메가픽셀),,3840 x 2160 (UHD)30 FPS,F/2.2,,,,,,,,,,,,,,,,,,,지문인식,,,,,Apple Pay,,,,,1642,Li-Polymer,,일체형,,,,,58.6,123.8,7.6,"113"
13,아이폰6s,A1688,apple,2015. 10,iOS 9 | iOS 10 | iOS 11.4 | iOS 12.3,,,4.7,IPS,750 x 1334,326,,,,58.51,104.06,,Apple A9 APL0898,2개 (64 비트),1840MHz,PowerVR GT7600,,,,2 GB,16GB/64GB/128GB,,,,4G,802.11a/b/g/n/ac,4.2,,나노유심 ,,,,,,Dual LED,4032 x 3024 (12.2 메가픽셀),2560 x 1920 (4.9 메가픽셀),3840 x 2160 (UHD)30 FPS,F/2.2,,,,,,,,,,,,,,,,,,,지문인식,,,,,Apple Pay,,,,,1715,Li-Polymer,,일체형,,,,,67.1,138.3,7.1,"143"
14,아이폰6s Plus,A1687,apple,2015. 10,iOS 9 | iOS 10 | iOS 11.4 | iOS 12.3,,,5.5,IPS,1080 x 1920,401,,,,68.49,121.76,,Apple A9 APL1022,2개 (64 비트),1840MHz,PowerVR GT7600,,,,2 GB,16GB/64GB/128GB,,,,4G,802.11a/b/g/n/ac,4.2,,나노유심 ,,,,,,Dual LED,4032 x 3024 (12.2 메가픽셀),2560 x 1920 (4.9 메가픽셀),3840 x 2160 (UHD)30 FPS,F/2.2,,,,,,,,,,,,,,,,,,,지문인식,,,,,Apple Pay,,,,,2750,Li-Polymer,,일체형,,,,,77.9,158.2,7.3,"192"
15,아이폰6 Plus,A1524,apple,2014. 10,iOS 9,,,5.5,IPS,1080 x 1920,401,,,,68.49,121.76,,Apple A9 APL1022,2개 (64 비트),1840MHz,PowerVR GT7600,,,,2 GB,16GB/64GB/128GB,,,,4G,802.11a/b/g/n/ac,4.2,,나노유심 ,,,,,,Dual LED,4032 x 3024 (12.2 메가픽셀),2560 x 1920 (4.9 메가픽셀),3840 x 2160 (Full HD)30 FPS,F/2.2,,,,,,,,,,,,,,,,,,,지문인식,,,,,apple pay,,,,,2750,Li-Polymer,,일체형,,,,,77.9,158.2,7.3,"172"
16,아이폰5s,A1530,apple,2013. 10,iOS 7.0.3 | iOS 9,,,4,IPS,640 x 1136,326,,,,49.87,88.52,,Apple A7 APL0698,2개 (64 비트),1300MHz,PowerVR G6430,,,,1 GB,16GB/32GB,,,,4G,802.11a/b/g/n,4,,나노유심 ,,,,,,Dual LED,3264 x 2448 (8 메가픽셀),1280 x 960 (1.2 메가픽셀),1920 x 1080 (Full HD)30 FPS,F/2.2,,,,,,,,,,,,,,,,,,,지문인식,,,,,,,,,,1560,Li-Polymer,,일체형,,,,,58.6,123.8,7.6,"112"
17,아이폰4s,A1387,apple,2011. 11,iOS 5 | iOS 6.1.3 | iOS 7.0.4 | iOS 8.0.2,,,3.5,IPS,640 x 960,330,,,,49.31,73.97,,Apple A5 APL0498,2개 (32 비트),800MHz,PowerVR SGX543 MP2,,,,512 MB,8GB/16GB/32GB/64GB,,,,,802.11b/g/n,4,,마이크로유심 ,,,,,,LED,3264 x 2448 (8 메가픽셀),640 x 480 (0.3 메가픽셀),1920 x 1080 (Full HD)30 FPS,F/2.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1432,Li-Polymer,,일체형,,,,,58.6,115.2,9.3,"140"
18,아이폰4,A1332,apple,2011. 03,iOS 4 | iOS 6.1.3 | iOS 7.0.4,,,3.5,IPS,640 x 960,330,,,,49.31,73.97,,Apple A4 APL0398,1개 (32 비트),800MHz,PowerVR SGX535,,,,512 MB,8GB/16GB/32GB,,,,,802.11b/g/n,2.1,,마이크로유심 ,,,,,,LED,2560 x 1920 (4.9 메가픽셀),,1280 x 720 (HD)30 FPS,F/2.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1420,Li-Polymer,,일체형,,,,,58.6,115.2,9.3,"137"
19,갤럭시 A90 5G,SM-A908,samsung,2019. 09,안드로이드 9.0 Pie,,,6.7,Super AMOLED,1080 x 2400,393,,,,69.84,155.19,,Qualcomm Snapdragon 855,8개 (64 비트),2840MHz,Qualcomm Adreno 640,,,,6 | 8 GB,128GB,,,5G,,,5,,나노유심 ,,,,,,LED,8000 x 6000 (48 메가픽셀),6560 x 4928 (32.3 메가픽셀),3840 x 2160 30 FPS,F/2,,,,,,,,,,,,,,,,,,,지문인식,,,,,SAMSUNG Pay,,,,,4500,Li-Polymer,,"급속충전
일체형",,,,,76.4,164.8,8.4,"206"
20,갤럭시 A40,SM-A405,samsung,2019. 07,안드로이드 9.0 Pie,,,5.9,Super AMOLED,1080 x 2340,437,,,,62.8,136.07,,Samsung Exynos 7 Octa 7904,8개 (64 비트),1800MHz,ARM MaliG71 MP2,,,,4 GB,64GB,,,,4G,,5,,나노유심 ,,,,,,LED,4608 x 3456 (15.9 메가픽셀),5760 x 4312 (24.8 메가픽셀),1920 x 1080 30 FPS,F/1.7,,,,,,,,,,,,,,,,,,,지문인식,,,,,SAMSUNG Pay,,,,,3100,Li-Polymer,,"급속충전
일체형",,,,,69.2,144.4,7.9,"140"
21,갤럭시 A30,SM-A305,samsung,2019. 04,안드로이드 9.0 Pie,,,6.4,Super AMOLED,1080 x 2340,403,,,,68.12,147.6,,Samsung Exynos 7 Octa 7904,8개 (64 비트),1800MHz,ARM MaliG71 MP2,,,,3 | 4 GB,32GB/64GB,,,,4G,,5,,나노유심 ,,,,,,LED,4608 x 3456 (15.9 메가픽셀),4608 x 3456 (15.9 메가픽셀),1920 x 1080 30 FPS,F/1.7,,,,,,,,,,,,,,,,,,,지문인식,,,,,SAMSUNG Pay,,,,,4000,Li-Ion,,"급속충전
일체형",,,,,74.7,158.5,7.7,"165"
22,갤럭시 와이드4,SM-A205,samsung,2019. 05,안드로이드 9.0 Pie,,,0,Super AMOLED,720 x 1560,,,,,68.12,147.6,,Samsung Exynos 7 Octa 7884,8개 (64 비트),1600MHz,ARM MaliG71,,,,3 GB,32GB,,,,4G,,5,,나노유심 ,,,,,,LED,4224 x 3136 (13.3 메가픽셀),3264 x 2448 (8 메가픽셀),1920 x 1080 30 FPS,F/1.9,,,,,,,,,,,,,,,,,,,지문인식,,,,,,,,,,4000,Li-Polymer,,"급속충전
일체형",,,,,74.7,158.4,7.8,"169"
23,갤럭시 A9 Pro,SM-G887,samsung,2019. 01,안드로이드 8.1 Oreo | 안드로이드 9.0 Pie,,,6.4,IPS,1080 x 2340,403,,,,68.12,147.6,,Qualcomm Snapdragon 710,8개 (64 비트),2200MHz,Qualcomm Adreno 616,,,,6 GB,128GB,,,,4G,,5,,나노유심 ,,,,,,Dual LED,5632 x 4224 (23.8 메가픽셀),5632 x 4224 (23.8 메가픽셀),3840 x 2160 30 FPS,F/1.7,,,,,,,,,,,,,,,,,,,지문인식,,,,,,,,,,3400,Li-Polymer,,"급속충전
일체형",,,,,74.9,158.4,7.4,"173"
24,갤럭시 A8 Star,SM-G885,samsung,2018. 07,안드로이드 8.0 Oreo,,,6.3,Super AMOLED,1080 x 2220,392,,,,70,143.9,,Qualcomm Snapdragon 660 MSM8976 Plus,8개 (64 비트),2200MHz,Qualcomm Adreno 512,,,,4 GB,64GB,,,,4G,,5,,나노유심 ,,,,,,LED,4608 x 3456 (15.9 메가픽셀),5632 x 4224 (23.8 메가픽셀),3840 x 2160 30 FPS,F/1.7,,,,,,,,,,,,,,,,,,,지문인식,,,,,,,,,,3700,Li-Ion,,"급속충전
일체형",,,,,77,162.4,7.6,"191"
25,갤럭시 A9 2018,SM-A920,samsung,2018. 12,안드로이드 8.0 Oreo | 안드로이드 9.0 Pie,,,6.3,Super AMOLED,1080 x 2220,392,,,,70,143.9,,Qualcomm Snapdragon 660 MSM8976 Plus,8개 (64 비트),2200MHz,Qualcomm Adreno 512,,,,6 | 8 GB,128GB,,,,4G,,5,,나노유심 ,,,,,,LED,5664 x 4248 (24.1 메가픽셀),5664 x 4248 (24.1 메가픽셀),3840 x 2160 30 FPS,F/1.7,,,,,,,,,,,,,,,,,,,지문인식,,,,,,,,,,3800,Li-Polymer,,"급속충전
일체형",,,,,77,162.5,7.8,"183"
26,갤럭시 A8 2018,SM-A530,samsung,2018. 01,안드로이드 7.1.1 누가 | 안드로이드 8.0 Oreo | 안드로이드 9.0 Pie,,,5.6,Super AMOLED,1080 x 2220,441,,,,62.23,127.91,,Samsung Exynos 7 Octa 7885,8개 (64 비트),2200MHz,ARM MaliG71,,,,4 GB,32GB/64GB,,,,4G,,5,,나노유심 ,,,,,,LED,4608 x 3456 (15.9 메가픽셀),4608 x 3456 (15.9 메가픽셀),1920 x 1080 30 FPS,F/1.7,,,,,,,,,,,,,,,,,,,지문인식,,,,,,,,,,3000,Li-Ion,,"급속충전
일체형",,,,,70.6,149.2,8.4,"172"
27,갤럭시 A6 2018,SM-A600,samsung,2018. 06,안드로이드 8.0 Oreo | 안드로이드 9.0 Pie,,,5.6,Super AMOLED,720 x 1480,294,,,,62.23,127.91,,Samsung Exynos 7 Octa 7870,8개 (64 비트),1600MHz,ARM MaliT830 MP2,,,,3 | 4 GB,32GB/64GB,,,,4G,,4.2,,나노유심 ,,,,,,LED,4608 x 3456 (15.9 메가픽셀),4608 x 3456 (15.9 메가픽셀),1920 x 1080 30 FPS,F/1.7,,,,,,,,,,,,,,,,,,,지문인식,,,,,,,,,,3000,Li-Ion,,일체형,,,,,70.8,149.9,7.7,"159"
28,갤럭시 A7 2018,SM-A750,samsung,2018. 10,안드로이드 8.0 Oreo | 안드로이드 9.0 Pie,,,6,Super AMOLED,1080 x 2220,411,,,,66.67,137.04,,Samsung Exynos 7 Octa 7885,8개 (64 비트),2200MHz,ARM MaliG71,,,,4 | 6 GB,64GB/128GB,,,,4G,,5,,나노유심 ,,,,,,LED,5664 x 4248 (24.1 메가픽셀),5664 x 4248 (24.1 메가픽셀),1920 x 1080 30 FPS,F/1.7,,,,,,,,,,,,,,,,,,,지문인식,,,,,,,,,,3300,Li-Ion,,일체형,,,,,76.8,159.8,7.5,"168"
29,갤럭시 A5 2017,SM-A520,samsung,2017. 01,안드로이드 6.0.1 마시멜로우 | 안드로이드 8.0 Oreo,,,5.2,Super AMOLED,1080 x 1920,424,,,,64.75,115.12,,Samsung Exynos 7 Octa 7880,8개 (64 비트),1900MHz,ARM MaliT830 MP3,,,,3 GB,32GB,,Micro SD,,4G,802.11a/b/g/n,4.2,,나노유심 ,,,,,,LED,4608 x 3456 (15.9 메가픽셀),4608 x 3456 (15.9 메가픽셀),1920 x 1080 (Full HD)30 FPS,F/1.9,,,,,,,,,,,,,,,,,,,지문인식,,,,,SAMSUNG Pay,,,,,3000,Li-Ion,,"급속충전
일체형",,,,,71.4,146.1,7.9,"157"
30,갤럭시 A8 2016,SM-A810,samsung,2016. 10,안드로이드 6.0.1 마시멜로우 | 안드로이드 7.0 누가 | 안드로이드 8.0 Oreo,,,5.7,Super AMOLED,1080 x 1920,386,,,,70.98,126.19,,Samsung Exynos 7 Octa 7420,8개 (64 비트),2100MHz,ARM MaliT760 MP8,,,,3 GB,32GB,,Micro SD,,4G,802.11a/b/g/n/ac,4.2,,나노유심 ,,,,,,LED,4608 x 3456 (15.9 메가픽셀),3264 x 2448 (8 메가픽셀),1920 x 1080 (Full HD)30 FPS,F/1.9,,,,,,,,,,,,,,,,,,,지문인식,,,,,,,,,,3300,Li-Ion,,"급속충전
일체형",,,,,76.8,156.6,7.2,"182"
31,갤럭시 A3 2016,SM-A310,samsung,2016. 03,안드로이드 5.1.1 롤리팝 | 안드로이드 6.0 마시멜로우 | 안드로이드 7.0 누가,,,4.7,Super AMOLED,720 x 1280,312,,,,58.53,104.05,,Samsung Exynos 7 Quad 7578,4개 (64 비트),1500MHz,ARM MaliT720 MP2,,,,1.5 GB,16GB,,Micro SD,,4G,802.11b/g/n,4.1,,나노유심 ,,,,,,LED,4128 x 3096 (12.8 메가픽셀),2592 x 1944 (5 메가픽셀),1920 x 1080 (Full HD)30 FPS,F/1.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2300,Li-Polymer,,일체형,,,,,65.2,134.5,7.3,"132"
32,갤럭시 A5 2016,SM-A510,samsung,2016. 01,안드로이드 5.1.1 롤리팝 | 안드로이드 6.0 마시멜로우 | 안드로이드 7.0 누가,,,5.2,Super AMOLED,1080 x 1920,424,,,,64.75,115.12,,Samsung Exynos 7 Octa 7580,8개 (64 비트),1600MHz,ARM MaliT720 MP2,,,,2 GB,16GB,,Micro SD,,4G,802.11a/b/g/n,4.1,,나노유심 ,,,,,,LED,4128 x 3096 (12.8 메가픽셀),2576 x 1932 (5 메가픽셀),1920 x 1080 (Full HD)30 FPS,F/1.9,,,,,,,,,,,,,,,,,,,지문인식,,,,,SAMSUNG Pay,,,,,2900,Li-Polymer,,"급속충전
일체형",,,,,71,144.8,7.3,"155"
33,갤럭시 A7 2016,SM-A710,samsung,2016. 01,안드로이드 5.1.1 롤리팝 | 안드로이드 6.0 마시멜로우 | 안드로이드 7.0 누가,,,5.5,Super AMOLED,1080 x 1920,401,,,,68.49,121.76,,Samsung Exynos 7 Octa 7580,8개 (64 비트),1600MHz,ARM MaliT720 MP2,,,,3 GB,16GB,,Micro SD,,4G,802.11a/b/g/n,4.1,,나노유심 ,,,,,,LED,4160 x 3120 (13 메가픽셀),2592 x 1944 (5 메가픽셀),1920 x 1080 (Full HD)30 FPS,F/1.9,,,,,,,,,,,,,,,,,,,지문인식,,,,,SAMSUNG Pay,,,,,3300,Li-Ion,,"급속충전
일체형",,,,,74.1,151.5,7.3,"172"
34,갤럭시 A8,SM-A800,samsung,2015. 07,안드로이드 5.1.1 롤리팝 | 안드로이드 6.0.1 마시멜로우,,,5.7,Super AMOLED,1080 x 1920,386,,,,70.98,126.19,,Qualcomm Snapdragon 615 MSM8939,8개 (64 비트),1500MHz,Qualcomm Adreno 405,,,,2 GB,16GB/32GB,,Micro SD,,4G,802.11a/b/g/n/ac,4.1,,나노유심 ,,,,,,LED,5312 x 2988 (15.9 메가픽셀),2560 x 1920 (4.9 메가픽셀),1920 x 1080 (Full HD)30 FPS,F/1.9,,,,,,,,,,,,,,,,,,,지문인식,,,,,,,,,,3050,Li-Ion,,일체형,,,,,76.8,158,5.9,"151"
35,갤럭시 A5,SM-A500,samsung,2015. 01,안드로이드 4.4.4 KitKat | 안드로이드 5.0.2 롤리팝 | 안드로이드 6.0 마시멜로우,,,5,Super AMOLED,720 x 1280,294,,,,62.26,110.69,,Qualcomm Snapdragon 410 MSM8916,4개 (64 비트),1200MHz,Qualcomm Adreno 306,,,,2 GB,16GB,,,,4G,802.11g/n,4,,나노유심 ,,,,,,LED,4128 x 3096 (12.8 메가픽셀),2560 x 1440 (3.7 메가픽셀),1920 x 1080 (Full HD)30 FPS,F/2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2300,Li-Ion,,일체형,,,,,69.7,139.3,6.7,"123"
