pl_id,pl_maker,pl_model_code,pl_name,pl_model_name
1,apple,A2221,아이폰11,iphone11
2,apple,A2215,아이폰11 Pro,iphone11 Pro
3,apple,A2218,아이폰11 Pro Max,iphone11 Pro Max
4,apple,A2097,아이폰Xs,iphoneXs
5,apple,A2101,아이폰Xs Max,iphoneXs Max
6,apple,A2105,아이폰Xr,iphoneXr
7,apple,A1901,아이폰X,iphoneX
8,apple,A1905,아이폰8,iphone8
9,apple,A1897,아이폰8 Plus,iphone8 Plus
10,apple,A1778,아이폰7,iphone7
11,apple,A1784,아이폰7 Plus,iphone7 Plus
12,apple,A1723,아이폰SE,iphoneSE
13,apple,A1688,아이폰6s,iphone6s
14,apple,A1687,아이폰6s Plus,iphone6s Plus
15,apple,A1586,아이폰6,iphone6
16,apple,A1524,아이폰6 Plus,iphone6 Plus
17,apple,A1530,아이폰5s,iphone5s
18,apple,A1532,아이폰5c,iphone5c
19,apple,A1428,아이폰5,iphone5
20,apple,A1387,아이폰4s,iphone4s
21,apple,A1332,아이폰4,iphone4
22,samsung,SM-A908,갤럭시 A90 5G,Galaxy A90 5G
23,samsung,SM-A505,갤럭시 A50,Galaxy A50
24,samsung,SM-A405,갤럭시 A40,Galaxy A40
25,samsung,SM-A305,갤럭시 A30,Galaxy A30
26,samsung,SM-A205,갤럭시 와이드4,Galaxy Wide4
27,samsung,SM-G887,갤럭시 A9 Pro,Galaxy A9 Pro
28,samsung,SM-G885,갤럭시 A8 Star,Galaxy A8 Star
29,samsung,SM-A920,갤럭시 A9 2018,Galaxy A9 2018
30,samsung,SM-A530,갤럭시 A8 2018,Galaxy A8 2018
31,samsung,SM-A600,갤럭시 A6 2018,Galaxy A6 2018
32,samsung,SM-A750,갤럭시 A7 2018,Galaxy A7 2018
33,samsung,SM-A520,갤럭시 A5 2017,Galaxy A5 2017
34,samsung,SM-A810,갤럭시 A8 2016,Galaxy A8 2016
35,samsung,SM-A310,갤럭시 A3 2016,Galaxy A3 2016
36,samsung,SM-A510,갤럭시 A5 2016,Galaxy A5 2016
37,samsung,SM-A710,갤럭시 A7 2016,Galaxy A7 2016
38,samsung,SM-A800,갤럭시 A8,Galaxy A8
39,samsung,SM-A500,갤럭시 A5,Galaxy A5
40,samsung,SM-A300,갤럭시 A3,Galaxy A3
41,samsung,SM-A700,갤럭시 A7,Galaxy A7
42,samsung,SHW-M100,갤럭시 A,Galaxy A
43,samsung,SM-J250,갤럭시 J2 Pro,Galaxy J2 Pro
44,samsung,SM-J330,갤럭시 J3 2017,Galaxy J3 2017
45,samsung,SM-J530,갤럭시 J5 2017,Galaxy J5 2017
46,samsung,SM-J730,갤럭시 J7 2017,Galaxy J7 2017
47,samsung,SM-J320,갤럭시 J3 2016,Galaxy J3 2016
48,samsung,SM-J710,갤럭시 J7 2016,Galaxy J7 2016
49,samsung,SM-J510,갤럭시 J5 2016,Galaxy J5 2016
50,samsung,SM-J700,갤럭시 J7,Galaxy J7
51,samsung,SM-J600,갤럭시 J6,Galaxy J6
52,samsung,SM-J500,갤럭시 J5,Galaxy J5
53,samsung,SM-J415,갤럭시 J4 Plus,Galaxy J4 Plus
54,samsung,SM-G977,갤럭시S10 5G,GalaxyS10 5G
55,samsung,SM-G970,갤럭시S10e,GalaxyS10e
56,samsung,SM-G973,갤럭시S10,GalaxyS10
57,samsung,SM-G975,갤럭시S10 Plus,GalaxyS10 Plus
58,samsung,SM-G960,갤럭시S9,GalaxyS9
59,samsung,SM-G965,갤럭시S9 Plus,GalaxyS9 Plus
60,samsung,SM-G950,갤럭시S8,GalaxyS8
61,samsung,SM-G955,갤럭시S8 Plus,GalaxyS8 Plus
62,samsung,SM-G930,갤럭시S7,GalaxyS7
63,samsung,SM-G935,갤럭시S7 Edge,GalaxyS7 Edge
64,samsung,SM-G928,갤럭시S6 Edge Plus,GalaxyS6 Edge Plus
65,samsung,SM-G925,갤럭시S6 Edge,GalaxyS6 Edge
66,samsung,SM-G920,갤럭시S6,GalaxyS6
67,samsung,SM-G900,갤럭시S5,GalaxyS5
68,samsung,SM-G906,갤럭시S5 LTE-A,GalaxyS5 LTE-A
69,samsung,SHV-E300,갤럭시S4 ,GalaxyS4
70,samsung,SHV-E330,갤럭시S4 LTE-A,GalaxyS4 LTE-A
71,samsung,SHV-E470,갤럭시S4 Active,GalaxyS4 Active
72,samsung,SM-C105,갤럭시S4 Zoom,GalaxyS4 Zoom
73,samsung,SHV-E370,갤럭시S4 Mini,GalaxyS4 Mini
74,samsung,SHV-E210,갤럭시S3 LTE,GalaxyS3 LTE
75,samsung,SHV-M440,갤럭시S3 3G,GalaxyS3 3G
76,samsung,SHW-M250,갤럭시S2 ,GalaxyS2
77,samsung,SHV-E120,갤럭시S2 HD LTE,GalaxyS2 HD LTE
78,samsung,SHV-E110,갤럭시S2 LTE,GalaxyS2 LTE
79,samsung,SHW-M110,갤럭시S,GalaxyS
80,samsung,SHW-M190,갤럭시S Hoppin,GalaxyS Hoppin
81,samsung,SM-G720,갤럭시그랜드 맥스,GalaxyGrand Max
82,samsung,SM-G710,갤럭시그랜드2,GalaxyGrand2
83,samsung,SHV-E270,갤럭시그랜드,GalaxyGrand
84,samsung,SM-N971,갤럭시노트10,GalaxyNote10
85,samsung,SM-N976,갤럭시노트10 Plus,GalaxyNote10 Plus
86,samsung,SM-N960,갤럭시노트9,GalaxyNote9
87,samsung,SM-N950,갤럭시노트8,GalaxyNote8
88,samsung,SM-N935,갤럭시노트FE,GalaxyNoteFE
89,samsung,SM-N930,갤럭시노트7,GalaxyNote7
90,samsung,SM-N920,갤럭시노트5,GalaxyNote5
91,samsung,SM-N910,갤럭시노트4,GalaxyNote4
92,samsung,SM-N916,갤럭시노트4 S-LTE,GalaxyNote4 S-LTE
93,samsung,SM-N915,갤럭시노트4 Edge,GalaxyNote4 Edge
94,samsung,SM-N900,갤럭시노트3,GalaxyNote3
95,samsung,SM-N750,갤럭시노트3 Neo,GalaxyNote3 Neo
96,samsung,SHV-E250,갤럭시노트2,GalaxyNote2
97,samsung,SHV-E160,갤럭시노트,GalaxyNote
98,samsung,SM-G160,갤럭시폴더2,GalaxyFolder2
99,samsung,SM-G610,갤럭시 온7 2016,Galaxy On7 2016
100,samsung,SM-G600,갤럭시와이드,GalaxyWide
101,samsung,SM-J737,갤럭시와이드3,GalaxyWide3
102,samsung,SM-G850,갤럭시알파,GalaxyAlpha
103,samsung,SHW-M585,갤럭시코어,GalaxyCore
104,samsung,SHW-M580,갤럭시코어 Safe,GalaxyCore Safe
105,samsung,SHW-M570,갤럭시코어 Advance,GalaxyCore Advance
106,samsung,SM-T255,갤럭시W,GalaxyW
107,samsung,SM-C115,갤럭시줌2,GalaxyZoom2
108,samsung,SHV-E500,갤럭시윈,GalaxyWin
109,samsung,SM-G910,갤럭시라운드,GalaxyRound
110,samsung,SHV-E400,갤럭시골든,GalaxyGolden
111,samsung,SHV-E310,갤럭시메가 6.3,GalaxyMega 6.3
112,samsung,SHV-E220,갤럭시팝,GalaxyPop
113,samsung,SHV-E170,갤럭시R style,GalaxyR style
114,samsung,SHW-M340,갤럭시M style,GalaxyM style
115,samsung,SHW-M240,갤럭시에이스,GalaxyAce
116,samsung,SHW-M130,갤럭시U,GalaxyU
117,samsung,SM-A202,갤럭시진2,GalaxyJean2
118,samsung,SM-J415-KA,카카오 리틀프렌즈 폰2,kakao LittleFriends Phone2
119,samsung,SM-G611,갤럭시 온7 프라임,Galaxy On7 Prime
121,samsung,SM-B510,삼성 마스터폰 ,Samsung MasterPhone KT 3G
122,samsung,SM-B510,삼성 마스터폰 SKT 3G,Samsung MasterPhone SKT 3G
123,samsung,SM-B510,삼성 마스터폰 LG 3G,Samsung MasterPhone LG 3G
124,lg,LG-F370,F70,F70
125,lg,LM-G820,G8 ThinQ,G8 ThinQ
126,lg,LM-G710,G7 ThinQ,G7 ThinQ
127,lg,LM-G710P,G7 ThinQ Plus,G7 ThinQ Plus
128,lg,LGM-G600,G6 ThinQ,G6 ThinQ
129,lg,LGM-G600P,G6 ThinQ Plus,G6 ThinQ Plus
130,lg,LG-F700,G5,G5
131,lg,LG-F500,G4,G4
132,lg,LG-F400,G3,G3
133,lg,LG-F410,G3 A,G3 A
134,lg,LG-F470,G3 Beat,G3 Beat
135,lg,LG-F490,G3 Screen,G3 Screen
136,lg,LG-F460,G3.Cat6,G3.Cat6
137,lg,LG-F320,G2,G2
138,lg,LG-F350,G Pro2,G Pro2
139,lg,LG-F430,Gx2,Gx2
140,lg,LG-F310,Gx,Gx
141,lg,LG-F510,G Flex2,G Flex2
142,lg,LG-F340,G Flex,G Flex
143,lg,LG-Q720CS,Stylo 5,Stylo 5
144,lg,LG-Q720AM,Stylo 5 Plus,Stylo 5 Plus
145,lg,LG-MP450,Stylus 3,Stylus 3
146,lg,LG-F720,Stylus 2,Stylus 2
147,lg,LG-F560,G 스타일로,G Stylo
148,lg,LG-D690,G3 Stylus,G3 Stylus
149,lg,LG-F670,K10,K10
150,lg,LG-F820,U폰,U phone
151,lg,LG-F620,클래스,LG CLASS
152,lg,LG-F540,볼트,LG Volt
153,lg,LG-F520,아카,LG AKA
154,lg,LM-Q925,Q9,Q9
155,lg,LM-Q927,Q9 One,Q9 One
156,lg,LM-Q815,Q8 2018,Q8 2018
157,lg,LGM-X800,Q8,Q Stylus Plus
158,lg,LMQ710,Q Stylus,Q Stylus
159,lg,LMQ710HS,Q Stylus Alpha,Q Stylus Alpha
160,lg,LM-Q720,Q7,Q7
161,lg,LM-Q725,Q7 Plus,Q7 Plus
162,lg,LG-X600,Q6,Q6
163,lg,LGM-X600,Q6 Plus,Q6 Plus
164,lg,LM-V500,V50 ThinQ,V50 ThinQ
165,lg,LM-V510,V50s ThinQ,V50s ThinQ
166,lg,LM-V409,V40 ThinQ,V40 ThinQ
167,lg,LM-V350,V35,V35
168,lg,LGM-V300S,V30s ThinQ,V30s ThinQ
169,lg,LGM-V300,V30,V30
170,lg,LG-F800,V20,V20
171,lg,LG-F600,V10,V10
172,lg,LM-X510,X5 2018,X5 2018
173,lg,LM-X410,X4,X4
174,lg,LM-X415,X4 Plus,X4 Plus
175,lg,LM-X625,X6 2019,X6 2019
176,lg,LM-X420,X4 2019,X4 2019
177,lg,LM-X220,X2 2019,X2 2019
178,lg,LM-X210,X2 2018,X2 2018
179,lg,LGM-X320,X500,X500
180,lg,LGM-X401,X401,X401
181,lg,LGM-K121,X400,X400
182,lg,LGM-K120,X300,X300
183,lg,LG-F750,엑스파워,X Power
184,lg,LG-F770,X5,X5
185,lg,LG-F740,X스킨,X Skin
186,lg,LG-F690,X캠,X Cam
187,lg,LG-F650,X스크린,X Screen
188,lg,LG-H791,넥서스 5x,Nexus 5x
189,lg,LG-F260,옵티머스 LTE3,Optimus LTE3
190,lg,LG-F610,와인 스마트 재즈,Wine Smart Jazz
191,lg,LG-F480,와인 스마트,Wine Smart
192,lg,LG-T480,와인 스마트 3G,Wine Smart 3G
193,lg,LM-Y110,LG폴더,LG Folder
194,lg,LGM-X100,스마트폴더,SmartFolder
195,samsung,SM-F907,갤럭시 폴드,Galaxy Fold
196,apple,A2775,아이폰SE(2020),iphoneSE (2020)
197,samsung,SM-A805,갤럭시 A80,Galaxy A80
198,samsung,SM-F700,갤럭시 Z플립,Galaxy Z Flip
199,samsung,SM-G981,갤럭시 S20,Galaxy S20
200,samsung,SM-G986,갤럭시 S20 Plus,Galaxy S20 Plus
210,samsung,SM-G988,갤럭시 S20 울트라,Galaxy S20 Ultra
211,lg,LM-G900,벨벳,VELVET
212,lg,LM-Q510,Q51,Q51
213,lg,LM-Y120,LG폴더2,LG Folder 2
214,lg,LM-Q630,Q61,Q61
215,samsung,SM-A315,갤럭시 A31,Galaxy A31
216,samsung,SM-A516,갤럭시 A51,Galaxy A51
217,samsung,SM-A716,갤럭시 A퀀텀,Galaxy A Quantum
218,samsung,SM-G781,갤럭시S20 FE,Galaxy S20 FE
219,samsung,SM-N981,갤럭시노트20,GalaxyNote20
220,samsung,SM-N986,갤럭시노트20 울트라,GalaxyNote20 Ultra  
221,lg,LM-Q310,Q31,LG Q31
222,lg,LM-Q520,Q52,LG Q52
223,lg,LM-F100,윙,LG Wing
224,samsung,SM-A102,갤럭시 A10e,Galaxy A10e
225,apple,A2403,아이폰12,iphone12
226,apple,A2407,아이폰12 Pro,iphone12 Pro
227,apple,A2411,아이폰12 Pro Max,iphone12 Pro Max
228,apple,A2399,아이폰12 Mini,iphone12 Mini
229,samsung,SM-F916,갤럭시폴드2,Galaxy Fold2
230,samsung,SM-A125,갤럭시 A12,Galaxy A12
231,samsung,SM-G998,갤럭시S21 Ultra,Galaxy S21 Ultra
232,samsung,SM-G996,갤럭시S21 Plus,Galaxy S21 Plus
233,samsung,SM-G991,갤럭시S21,Galaxy S21
235,lg,LG-D821,넥서스5,Google Nexus5 16G  
236,lg,LG-F100,옵티머스 뷰,Optimus VU  
237,lg,LG-F180,옵티머스 G,Optimus G  
238,lg,LG-F200,옵티머스 뷰2,Optimus VU2
239,lg,LG-F220,옵티머스 GK,LG Optimus GK  
240,lg,LG-F240,옵티머스G 프로,Optimus G Pro  
241,lg,LG-F300,엘지 뷰3,LG Vu3  
242,lg,LG-F570,엘지 밴드플레이,LG 밴드플레이  
243,lg,LG-KU5400,프라다폰 3.0,PRADA 3.0  
244,lg,LG-LU6500,옵티머스Q2,OPTIMUS Q2  
245,lg,LM-Q730,Q70,LG Q70  
246,lg,LM-Q920,Q92,LG Q92  
247,lg,SU950,옵티머스 Z,Optimus Z  
249,samsung,SHW-M290,갤럭시 지오,GALAXY Gio  
250,samsung,SM-A105,갤럭시 A10,Samsung Galaxy A10  
251,samsung,SM-A217,갤럭시 A21s,Samsung Galaxy A21s  
252,samsung,SM-A720,갤럭시 A7 2017,Samsung Galaxy A7 2017  
253,samsung,SM-G150,갤럭시 폴더,Galaxy Folder  
255,samsung,SM-J727,갤럭시 와이드2,Samsung Galaxy Wide 2  
256,samsung,SM-M205,갤럭시 M20,Samsung Galaxy M20  
257,lg,LG-D329,LG L70,L70
258,lg,LG-D700,옵티머스 L9,LG Optimus L9
259,lg,LG-F120,옵티머스 LTE 태그,LG Optimus LTE Tag
260,lg,LG-F160,옵티머스 LTE2,LG Optimus LTE2
261,lg,LG-F440,아이스크림 스마트,Ice cream Smart
262,lg,LG-F580,LG 젠틀,Gentle
263,lg,LG-KH5200,안드로-1,Eve
264,lg,LG-KU5900,옵티머스 블랙,Optimus Black
265,lg,LG-LU3000,옵티머스 마하,Optimus Mach
266,lg,LG-SU640,옵티머스 LTE,Optimus LTE
267,lg,LG-LU6800,옵티머스 빅,Optimus Big
268,lg,LG-T280,옵티머스 L7,LG Optimus L7
269,lg,LG-KU3700,옵티머스 원,Optimus One
270,lg,LG-SU660,옵티머스 2X,Optimus 2X
271,lg,LG-SU760,옵티머스 3D,Optimus 3D
272,lg,LG-SU870,옵티머스 3D 큐브,Optimus 3D MAX
273,lg,LG-SU880,옵티머스 EX,Optimus EX
274,samsung,Nexus S,넥서스 S,Nexus S
275,samsung,SHW-M220,갤럭시 네오,Galaxy Neo
