,pl_id,모델이름,링크제목,나무위키링크
0,113.0,GalaxyR style,Future style,https://namu.wiki/w/Future%20style
0,114.0,GalaxyM style,Future style,https://namu.wiki/w/Future%20style
0,115.0,갤럭시에이스,,
0,116.0,GalaxyU,갤럭시U,https://namu.wiki/w/%EA%B0%A4%EB%9F%AD%EC%8B%9CU
0,117.0,갤럭시진2,,
0,118.0,kakao LittleFriends Phone2,프로도(카카오프렌즈),https://namu.wiki/w/%ED%94%84%EB%A1%9C%EB%8F%84(%EC%B9%B4%EC%B9%B4%EC%98%A4%ED%94%84%EB%A0%8C%EC%A6%88)
0,119.0,Galaxy On7 Prime,갤럭시 온7 프라임,https://namu.wiki/w/%EA%B0%A4%EB%9F%AD%EC%8B%9C%20%EC%98%A87%20%ED%94%84%EB%9D%BC%EC%9E%84
0,121.0,Samsung MasterPhone KT 3G,마스터폰,https://namu.wiki/w/%EB%A7%88%EC%8A%A4%ED%84%B0%ED%8F%B0
0,122.0,Samsung MasterPhone SKT 3G,삼성 마스터,https://namu.wiki/w/%EC%82%BC%EC%84%B1%20%EB%A7%88%EC%8A%A4%ED%84%B0
0,123.0,Samsung MasterPhone LG 3G,LG 와인 3G,https://namu.wiki/w/LG%20%EC%99%80%EC%9D%B8%203G
0,124.0,F70,F70 캐논 건담,https://namu.wiki/w/F70%20%EC%BA%90%EB%85%BC%20%EA%B1%B4%EB%8B%B4
0,125.0,G8 ThinQ,LG G8 ThinQ,https://namu.wiki/w/LG%20G8%20ThinQ
0,126.0,G7 ThinQ,G7 ThinQ,https://namu.wiki/w/G7%20ThinQ
0,127.0,G7 ThinQ Plus,G7 ThinQ,https://namu.wiki/w/G7%20ThinQ
0,128.0,G6 ThinQ,LG G6 ThinQ,https://namu.wiki/w/LG%20G6%20ThinQ
0,129.0,G6 ThinQ Plus,LG G6 ThinQ,https://namu.wiki/w/LG%20G6%20ThinQ
0,130.0,G5,G5,https://namu.wiki/w/G5
0,131.0,G4,가면라이더 G4,https://namu.wiki/w/%EA%B0%80%EB%A9%B4%EB%9D%BC%EC%9D%B4%EB%8D%94%20G4
0,132.0,G3,G3,https://namu.wiki/w/G3
0,133.0,G3 A,G3 A,https://namu.wiki/w/G3%20A
0,134.0,G3 Beat,G3 Beat,https://namu.wiki/w/G3%20Beat
0,135.0,G3 Screen,G3 Screen,https://namu.wiki/w/G3%20Screen
0,136.0,G3.Cat6,,
0,137.0,G2,G2,https://namu.wiki/w/G2
0,138.0,G Pro2,G,https://namu.wiki/w/G
0,139.0,Gx2,LG Gx2,https://namu.wiki/w/LG%20Gx2
0,140.0,Gx,LG Gx 로밍,https://namu.wiki/w/LG%20Gx%20%EB%A1%9C%EB%B0%8D
0,141.0,G Flex2,갤럭시 북 Flex2 5G,https://namu.wiki/w/%EA%B0%A4%EB%9F%AD%EC%8B%9C%20%EB%B6%81%20Flex2%205G
0,142.0,G Flex,G Flex,https://namu.wiki/w/G%20Flex
0,143.0,Stylo 5,LG G Stylo,https://namu.wiki/w/LG%20G%20Stylo
0,144.0,Stylo 5 Plus,LG G Stylo,https://namu.wiki/w/LG%20G%20Stylo
0,145.0,Stylus 3,LG Stylus 3,https://namu.wiki/w/LG%20Stylus%203
0,146.0,Stylus 2,LG Stylus 2,https://namu.wiki/w/LG%20Stylus%202
0,147.0,G Stylo,엘지 지 스타일로,https://namu.wiki/w/%EC%97%98%EC%A7%80%20%EC%A7%80%20%EC%8A%A4%ED%83%80%EC%9D%BC%EB%A1%9C
0,148.0,G3 Stylus,틀:LG Stylus 시리즈,https://namu.wiki/w/%ED%8B%80:LG%20Stylus%20%EC%8B%9C%EB%A6%AC%EC%A6%88
0,149.0,K10,K10,https://namu.wiki/w/K10
0,150.0,U phone,LG U폰,https://namu.wiki/w/LG%20U%ED%8F%B0
0,151.0,LG CLASS,클래스,https://namu.wiki/w/%ED%81%B4%EB%9E%98%EC%8A%A4
0,152.0,LG Volt,볼트,https://namu.wiki/w/%EB%B3%BC%ED%8A%B8
0,153.0,LG AKA,아카,https://namu.wiki/w/%EC%95%84%EC%B9%B4
0,154.0,Q9,Q9 One,https://namu.wiki/w/Q9%20One
0,155.0,Q9 One,Q9 One,https://namu.wiki/w/Q9%20One
0,156.0,Q8 2018,Q8,https://namu.wiki/w/Q8
0,157.0,Q Stylus Plus,Q8,https://namu.wiki/w/Q8
0,158.0,Q Stylus,틀:LG Stylus 시리즈,https://namu.wiki/w/%ED%8B%80:LG%20Stylus%20%EC%8B%9C%EB%A6%AC%EC%A6%88
0,159.0,Q Stylus Alpha,틀:LG Stylus 시리즈,https://namu.wiki/w/%ED%8B%80:LG%20Stylus%20%EC%8B%9C%EB%A6%AC%EC%A6%88
0,160.0,Q7,Q7,https://namu.wiki/w/Q7
0,161.0,Q7 Plus,Q7,https://namu.wiki/w/Q7
0,162.0,Q6,Q6,https://namu.wiki/w/Q6
0,163.0,Q6 Plus,Q6,https://namu.wiki/w/Q6
0,164.0,V50 ThinQ,LG V50 ThinQ,https://namu.wiki/w/LG%20V50%20ThinQ
0,165.0,V50s ThinQ,ThinQ,https://namu.wiki/w/ThinQ
0,166.0,V40 ThinQ,V40 ThinQ,https://namu.wiki/w/V40%20ThinQ
0,167.0,V35,V35,https://namu.wiki/w/V35
0,168.0,V30s ThinQ,V30s,https://namu.wiki/w/V30s
0,169.0,V30,V30,https://namu.wiki/w/V30
0,170.0,V20,V20,https://namu.wiki/w/V20
0,171.0,V10,V10,https://namu.wiki/w/V10
0,172.0,X5 2018,X5,https://namu.wiki/w/X5
0,173.0,X4,X4,https://namu.wiki/w/X4
0,174.0,X4 Plus,X4,https://namu.wiki/w/X4
0,175.0,X6 2019,X6,https://namu.wiki/w/X6
0,176.0,X4 2019,X4,https://namu.wiki/w/X4
0,177.0,X2 2019,X2,https://namu.wiki/w/X2
0,178.0,X2 2018,X2,https://namu.wiki/w/X2
0,179.0,X500,X500,https://namu.wiki/w/X500
0,180.0,X401,LG X401,https://namu.wiki/w/LG%20X401
0,181.0,X400,X400,https://namu.wiki/w/X400
0,182.0,X300,X300,https://namu.wiki/w/X300
0,183.0,X Power,세레이나(천년전쟁 아이기스),https://namu.wiki/w/%EC%84%B8%EB%A0%88%EC%9D%B4%EB%82%98(%EC%B2%9C%EB%85%84%EC%A0%84%EC%9F%81%20%EC%95%84%EC%9D%B4%EA%B8%B0%EC%8A%A4)
0,184.0,X5,X5,https://namu.wiki/w/X5
0,185.0,X Skin,이판사판태클,https://namu.wiki/w/%EC%9D%B4%ED%8C%90%EC%82%AC%ED%8C%90%ED%83%9C%ED%81%B4
0,186.0,X Cam,캠퍼스,https://namu.wiki/w/%EC%BA%A0%ED%8D%BC%EC%8A%A4
0,187.0,X스크린,,
0,188.0,Nexus 5x,넥서스 5x,https://namu.wiki/w/%EB%84%A5%EC%84%9C%EC%8A%A4%205x
0,189.0,Optimus LTE3,옵티머스 LTE3,https://namu.wiki/w/%EC%98%B5%ED%8B%B0%EB%A8%B8%EC%8A%A4%20LTE3
0,190.0,Wine Smart Jazz,와인 스마트 재즈,https://namu.wiki/w/%EC%99%80%EC%9D%B8%20%EC%8A%A4%EB%A7%88%ED%8A%B8%20%EC%9E%AC%EC%A6%88
0,191.0,Wine Smart,와인 스마트,https://namu.wiki/w/%EC%99%80%EC%9D%B8%20%EC%8A%A4%EB%A7%88%ED%8A%B8
0,192.0,Wine Smart 3G,LG 와인 스마트,https://namu.wiki/w/LG%20%EC%99%80%EC%9D%B8%20%EC%8A%A4%EB%A7%88%ED%8A%B8
0,193.0,LG Folder,LG폴더,https://namu.wiki/w/LG%ED%8F%B4%EB%8D%94
0,194.0,SmartFolder,스마트폴더,https://namu.wiki/w/%EC%8A%A4%EB%A7%88%ED%8A%B8%ED%8F%B4%EB%8D%94
0,195.0,Galaxy Fold,갤럭시 Z 폴드,https://namu.wiki/w/%EA%B0%A4%EB%9F%AD%EC%8B%9C%20Z%20%ED%8F%B4%EB%93%9C
0,196.0,iphoneSE (2020),아이폰SE,https://namu.wiki/w/%EC%95%84%EC%9D%B4%ED%8F%B0SE
0,197.0,Galaxy A80,갤럭시 A80,https://namu.wiki/w/%EA%B0%A4%EB%9F%AD%EC%8B%9C%20A80
0,198.0,Galaxy Z Flip,Z플립,https://namu.wiki/w/Z%ED%94%8C%EB%A6%BD
0,199.0,Galaxy S20,갤럭시 S20,https://namu.wiki/w/%EA%B0%A4%EB%9F%AD%EC%8B%9C%20S20
0,200.0,Galaxy S20 Plus,갤럭시 S20,https://namu.wiki/w/%EA%B0%A4%EB%9F%AD%EC%8B%9C%20S20
0,210.0,Galaxy S20 Ultra,갤럭시 S20 울트라,https://namu.wiki/w/%EA%B0%A4%EB%9F%AD%EC%8B%9C%20S20%20%EC%9A%B8%ED%8A%B8%EB%9D%BC
0,211.0,VELVET,벨벳,https://namu.wiki/w/%EB%B2%A8%EB%B2%B3
0,212.0,Q51,Q51,https://namu.wiki/w/Q51
0,213.0,LG Folder 2,LG 폴더2,https://namu.wiki/w/LG%20%ED%8F%B4%EB%8D%942
0,214.0,Q61,Q61,https://namu.wiki/w/Q61
0,215.0,Galaxy A31,갤럭시 A31,https://namu.wiki/w/%EA%B0%A4%EB%9F%AD%EC%8B%9C%20A31
0,216.0,Galaxy A51,갤럭시 A51,https://namu.wiki/w/%EA%B0%A4%EB%9F%AD%EC%8B%9C%20A51
0,217.0,Galaxy A Quantum,갤럭시,https://namu.wiki/w/%EA%B0%A4%EB%9F%AD%EC%8B%9C
0,218.0,Galaxy S20 FE,갤럭시S20,https://namu.wiki/w/%EA%B0%A4%EB%9F%AD%EC%8B%9CS20
0,219.0,GalaxyNote20,갤럭시노트20,https://namu.wiki/w/%EA%B0%A4%EB%9F%AD%EC%8B%9C%EB%85%B8%ED%8A%B820
0,220.0,GalaxyNote20 Ultra  ,갤럭시노트20,https://namu.wiki/w/%EA%B0%A4%EB%9F%AD%EC%8B%9C%EB%85%B8%ED%8A%B820
0,221.0,LG Q31,LG Q31,https://namu.wiki/w/LG%20Q31
0,222.0,LG Q52,Q52,https://namu.wiki/w/Q52
0,223.0,LG Wing,윙,https://namu.wiki/w/%EC%9C%99
0,224.0,Galaxy A10e,갤럭시 A10e,https://namu.wiki/w/%EA%B0%A4%EB%9F%AD%EC%8B%9C%20A10e
0,,Google Nexus5 16G  ,넥서스5,https://namu.wiki/w/%EB%84%A5%EC%84%9C%EC%8A%A45
0,,Optimus VU  ,옵티머스 뷰,https://namu.wiki/w/%EC%98%B5%ED%8B%B0%EB%A8%B8%EC%8A%A4%20%EB%B7%B0
0,,Optimus G  ,옵티머스 G,https://namu.wiki/w/%EC%98%B5%ED%8B%B0%EB%A8%B8%EC%8A%A4%20G
0,,Optimus VU2,옵티머스 뷰2,https://namu.wiki/w/%EC%98%B5%ED%8B%B0%EB%A8%B8%EC%8A%A4%20%EB%B7%B02
0,,LG Optimus GK  ,옵티머스 GK,https://namu.wiki/w/%EC%98%B5%ED%8B%B0%EB%A8%B8%EC%8A%A4%20GK
0,,Optimus G Pro  ,옵티머스G,https://namu.wiki/w/%EC%98%B5%ED%8B%B0%EB%A8%B8%EC%8A%A4G
0,,LG Vu3  ,뷰3,https://namu.wiki/w/%EB%B7%B03
0,,LG 밴드플레이  ,밴드플레이,https://namu.wiki/w/%EB%B0%B4%EB%93%9C%ED%94%8C%EB%A0%88%EC%9D%B4
0,,PRADA 3.0  ,프라다폰 3.0,https://namu.wiki/w/%ED%94%84%EB%9D%BC%EB%8B%A4%ED%8F%B0%203.0
0,,PRADA 3.0  ,프라다폰 3.0,https://namu.wiki/w/%ED%94%84%EB%9D%BC%EB%8B%A4%ED%8F%B0%203.0
0,,OPTIMUS Q2  ,옵티머스Q2,https://namu.wiki/w/%EC%98%B5%ED%8B%B0%EB%A8%B8%EC%8A%A4Q2
0,,PRADA 3.0  ,프라다폰 3.0,https://namu.wiki/w/%ED%94%84%EB%9D%BC%EB%8B%A4%ED%8F%B0%203.0
0,,LG Q7  ,Q7,https://namu.wiki/w/Q7
0,,LG Q70  ,Q70,https://namu.wiki/w/Q70
0,,LG Q92  ,Q92,https://namu.wiki/w/Q92
0,,Optimus Z  ,옵티머스 Z,https://namu.wiki/w/%EC%98%B5%ED%8B%B0%EB%A8%B8%EC%8A%A4%20Z
0,,GALAXY GRAND  ,갤럭시 그랜드 시리즈,https://namu.wiki/w/%EA%B0%A4%EB%9F%AD%EC%8B%9C%20%EA%B7%B8%EB%9E%9C%EB%93%9C%20%EC%8B%9C%EB%A6%AC%EC%A6%88
0,,GALAXY Gio  ,갤럭시 지오,https://namu.wiki/w/%EA%B0%A4%EB%9F%AD%EC%8B%9C%20%EC%A7%80%EC%98%A4
0,,Samsung Galaxy A10  ,갤럭시 A10,https://namu.wiki/w/%EA%B0%A4%EB%9F%AD%EC%8B%9C%20A10
0,,Samsung Galaxy A21s  ,갤럭시 A21s,https://namu.wiki/w/%EA%B0%A4%EB%9F%AD%EC%8B%9C%20A21s
0,,Samsung Galaxy A7 2017  ,갤럭시 A7(2017),https://namu.wiki/w/%EA%B0%A4%EB%9F%AD%EC%8B%9C%20A7(2017)
0,,Galaxy Folder  ,갤럭시 폴더 시리즈,https://namu.wiki/w/%EA%B0%A4%EB%9F%AD%EC%8B%9C%20%ED%8F%B4%EB%8D%94%20%EC%8B%9C%EB%A6%AC%EC%A6%88
0,,Samsung Galaxy Folder2 LTE  ,갤럭시 폴더2,https://namu.wiki/w/%EA%B0%A4%EB%9F%AD%EC%8B%9C%20%ED%8F%B4%EB%8D%942
0,,Samsung Galaxy Wide 2  ,갤럭시 와이드2,https://namu.wiki/w/%EA%B0%A4%EB%9F%AD%EC%8B%9C%20%EC%99%80%EC%9D%B4%EB%93%9C2
0,,Samsung Galaxy M20  ,갤럭시 M20,https://namu.wiki/w/%EA%B0%A4%EB%9F%AD%EC%8B%9C%20M20
