pl_id,pl_maker,pl_model_code,pl_name,pl_model_name,나무위키링크단품,,시리즈
122,samsung,SM-B510,삼성 마스터폰 SKT 3G,Samsung MasterPhone SKT 3G,https://namu.wiki/w/%EC%82%BC%EC%84%B1%20%EB%A7%88%EC%8A%A4%ED%84%B0,,
123,samsung,SM-B510,삼성 마스터폰 LG 3G,Samsung MasterPhone LG 3G,https://namu.wiki/w/%EC%82%BC%EC%84%B1%20%EB%A7%88%EC%8A%A4%ED%84%B0,,
124,lg,LG-F370,F70,F70,https://namu.wiki/w/LG%20F70,,
125,lg,LM-G820,G8 ThinQ,G8 ThinQ,https://namu.wiki/w/LG%20G8%20ThinQ,,
126,lg,LM-G710,G7 ThinQ,G7 ThinQ,https://namu.wiki/w/LG%20G7%20ThinQ,,
127,lg,LM-G710P,G7 ThinQ Plus,G7 ThinQ Plus,https://namu.wiki/w/G7%20ThinQ,,
128,lg,LGM-G600,G6 ThinQ,G6 ThinQ,https://namu.wiki/w/LGM-G600,,
129,lg,LGM-G600P,G6 ThinQ Plus,G6 ThinQ Plus,https://namu.wiki/w/LG%20G6%20ThinQ,,
130,lg,LG-F700,G5,G5,https://namu.wiki/w/LG-F700,,
131,lg,LG-F500,G4,G4,https://namu.wiki/w/LG-F500,,
132,lg,LG-F400,G3,G3,https://namu.wiki/w/LG-F400,,
133,lg,LG-F410,G3 A,G3 A,https://namu.wiki/w/G3%20A,,
134,lg,LG-F470,G3 Beat,G3 Beat,https://namu.wiki/w/LG%20G3%20Beat,,
135,lg,LG-F490,G3 Screen,G3 Screen,https://namu.wiki/w/LG%20G3%20Screen,,
136,lg,LG-F460,G3.Cat6,G3.Cat6,https://namu.wiki/w/LG%20G3,,
137,lg,LG-F320,G2,G2,https://namu.wiki/w/LG-F320,,
138,lg,LG-F350,G Pro2,G Pro2,https://namu.wiki/w/LG%20G%20Pro%202?from=%EC%A7%80%ED%94%84%EB%A1%9C2,,
139,lg,LG-F430,Gx2,Gx2,https://namu.wiki/w/LG%20Gx2,,
140,lg,LG-F310,Gx,Gx,https://namu.wiki/w/LG%20Gx%20%EB%A1%9C%EB%B0%8D,,
141,lg,LG-F510,G Flex2,G Flex2,https://namu.wiki/w/LG%20G%20Flex%202?from=%EC%A7%80%ED%94%8C%EB%A0%89%EC%8A%A4%202,,
142,lg,LG-F340,G Flex,G Flex,https://namu.wiki/w/G%20Flex,,
143,lg,LG-Q720CS,Stylo 5,Stylo 5,,https://namu.wiki/w/LG%20Stylus%20%EC%8B%9C%EB%A6%AC%EC%A6%88#s-2.6,
144,lg,LG-Q720AM,Stylo 5 Plus,Stylo 5 Plus,,https://namu.wiki/w/LG%20Stylus%20%EC%8B%9C%EB%A6%AC%EC%A6%88#s-2.6,
145,lg,LG-MP450,Stylus 3,Stylus 3,,https://namu.wiki/w/LG%20Stylus%20%EC%8B%9C%EB%A6%AC%EC%A6%88#s-2.6,
146,lg,LG-F720,Stylus 2,Stylus 2,https://namu.wiki/w/LG%20Stylus%202,,
147,lg,LG-F560,G 스타일로,G Stylo,https://namu.wiki/w/LG%20G%20Stylo,,
148,lg,LG-D690,G3 Stylus,G3 Stylus,,https://namu.wiki/w/LG%20G3#s-2.4,
149,lg,LG-F670,K10,K10,https://namu.wiki/w/LG%20K10,,
150,lg,LG-F820,U폰,U phone,https://namu.wiki/w/LG%20U%ED%8F%B0,,
151,lg,LG-F620,클래스,LG CLASS,https://namu.wiki/w/LG%20CLASS,,
152,lg,LG-F540,볼트,LG Volt,https://namu.wiki/w/LG%20Volt,,
153,lg,LG-F520,아카,LG AKA,https://namu.wiki/w/LG-F520,,
154,lg,LM-Q925,Q9,Q9,https://namu.wiki/w/LG%20Q9,,
155,lg,LM-Q927,Q9 One,Q9 One,https://namu.wiki/w/Q9%20One,,
156,lg,LM-Q815,Q8 2018,Q8 2018,https://namu.wiki/w/LG%20Q8(2018),,
157,lg,LGM-X800,Q8,Q Stylus Plus,https://namu.wiki/w/LGM-X800,,
158,lg,LMQ710,Q Stylus,Q Stylus,,https://namu.wiki/w/LG%20Q8(2018),
159,lg,LMQ710HS,Q Stylus Alpha,Q Stylus Alpha,,https://namu.wiki/w/LG%20Q8(2018),
160,lg,LM-Q720,Q7,Q7,https://namu.wiki/w/LG%20Q7,,
161,lg,LM-Q725,Q7 Plus,Q7 Plus,https://namu.wiki/w/LG%20Q7?from=LG%20Q7%2B,,
162,lg,LG-X600,Q6,Q6,https://namu.wiki/w/Q6,,
163,lg,LGM-X600,Q6 Plus,Q6 Plus,https://namu.wiki/w/LGM-X600,,
164,lg,LM-V500,V50 ThinQ,V50 ThinQ,https://namu.wiki/w/LG%20V50%20ThinQ,,
165,lg,LM-V510,V50s ThinQ,V50s ThinQ,https://namu.wiki/w/LG%20V50S%20ThinQ,,
166,lg,LM-V409,V40 ThinQ,V40 ThinQ,https://namu.wiki/w/LG%20V40%20ThinQ,,
167,lg,LM-V350,V35,V35,https://namu.wiki/w/LG%20V35%20ThinQ,,
168,lg,LGM-V300S,V30s ThinQ,V30s ThinQ,https://namu.wiki/w/LG%20V30%20ThinQ,,
169,lg,LGM-V300,V30,V30,https://namu.wiki/w/LGM-V300,,
170,lg,LG-F800,V20,V20,https://namu.wiki/w/LG-F800,,
171,lg,LG-F600,V10,V10,https://namu.wiki/w/LG-F600,,
172,lg,LM-X510,X5 2018,X5 2018,https://namu.wiki/w/LG%20X5(2018),,
173,lg,LM-X410,X4,X4,https://namu.wiki/w/LG%20X4,,
174,lg,LM-X415,X4 Plus,X4 Plus,,https://namu.wiki/w/LG%20X4,
175,lg,LM-X625,X6 2019,X6 2019,https://namu.wiki/w/LG%20X6,,
176,lg,LM-X420,X4 2019,X4 2019,https://namu.wiki/w/LG%20X4(2019),,
177,lg,LM-X220,X2 2019,X2 2019,https://namu.wiki/w/LG%20X2(2019),,
178,lg,LM-X210,X2 2018,X2 2018,https://namu.wiki/w/LG%20X2,,
179,lg,LGM-X320,X500,X500,https://namu.wiki/w/LGM-X320,,
180,lg,LGM-X401,X401,X401,https://namu.wiki/w/LG%20X400,,
181,lg,LGM-K121,X400,X400,https://namu.wiki/w/LGM-K121,,
182,lg,LGM-K120,X300,X300,https://namu.wiki/w/LG%20X300,,
183,lg,LG-F750,엑스파워,X Power,https://namu.wiki/w/LG%20X%20Power,,
184,lg,LG-F770,X5,X5,https://namu.wiki/w/LG%20X5,,
185,lg,LG-F740,X스킨,X Skin,https://namu.wiki/w/LG%20X%20Skin,,
186,lg,LG-F690,X캠,X Cam,https://namu.wiki/w/LG%20X%20Cam,,
187,lg,LG-F650,X스크린,X Screen,https://namu.wiki/w/LG%20X%20Screen,,
188,lg,LG-H791,넥서스 5x,Nexus 5x,https://namu.wiki/w/%EB%84%A5%EC%84%9C%EC%8A%A4%205X,,
189,lg,LG-F260,옵티머스 LTE3,Optimus LTE3,https://namu.wiki/w/%EC%98%B5%ED%8B%B0%EB%A8%B8%EC%8A%A4%20LTE3,,
190,lg,LG-F610,와인 스마트 재즈,Wine Smart Jazz,https://namu.wiki/w/LG%20%EC%99%80%EC%9D%B8%20%EC%8A%A4%EB%A7%88%ED%8A%B8%20%EC%9E%AC%EC%A6%88,,
191,lg,LG-F480,와인 스마트,Wine Smart,https://namu.wiki/w/LG%20%EC%99%80%EC%9D%B8%20%EC%8A%A4%EB%A7%88%ED%8A%B8,,
192,lg,LG-T480,와인 스마트 3G,Wine Smart 3G,https://namu.wiki/w/LG%20%EC%99%80%EC%9D%B8%20%EC%8A%A4%EB%A7%88%ED%8A%B8,,
193,lg,LM-Y110,LG폴더,LG Folder,https://namu.wiki/w/LG%ED%8F%B4%EB%8D%94,,
194,lg,LGM-X100,스마트폴더,SmartFolder,https://namu.wiki/w/LG%20%EC%8A%A4%EB%A7%88%ED%8A%B8%20%ED%8F%B4%EB%8D%94,,
195,samsung,SM-F907,갤럭시 폴드,Galaxy Fold,https://namu.wiki/w/%EA%B0%A4%EB%9F%AD%EC%8B%9C%20%ED%8F%B4%EB%93%9C,,
196,apple,A2775,아이폰SE(2020),iphoneSE (2020),https://namu.wiki/w/%EC%95%84%EC%9D%B4%ED%8F%B0SE,,
197,samsung,SM-A805,갤럭시 A80,Galaxy A80,https://namu.wiki/w/%EA%B0%A4%EB%9F%AD%EC%8B%9C%20A80,,
198,samsung,SM-F700,갤럭시 Z플립,Galaxy Z Flip,https://namu.wiki/w/%EA%B0%A4%EB%9F%AD%EC%8B%9C%20Z%20%ED%94%8C%EB%A6%BD?from=Z%ED%94%8C%EB%A6%BD,,
199,samsung,SM-G981,갤럭시 S20,Galaxy S20,https://namu.wiki/w/%EA%B0%A4%EB%9F%AD%EC%8B%9C%20S20,,
200,samsung,SM-G986,갤럭시 S20 Plus,Galaxy S20 Plus,https://namu.wiki/w/%EA%B0%A4%EB%9F%AD%EC%8B%9C%20S20%2B,,
210,samsung,SM-G988,갤럭시 S20 울트라,Galaxy S20 Ultra,https://namu.wiki/w/%EA%B0%A4%EB%9F%AD%EC%8B%9C%20S20%20Ultra,,
211,lg,LM-G900,벨벳,VELVET,https://namu.wiki/w/LG%20VELVET,,
212,lg,LM-Q510,Q51,Q51,https://namu.wiki/w/Q51,,
213,lg,LM-Y120,LG폴더2,LG Folder 2,https://namu.wiki/w/LG%20%ED%8F%B4%EB%8D%942,,
214,lg,LM-Q630,Q61,Q61,https://namu.wiki/w/Q61,,
215,samsung,SM-A315,갤럭시 A31,Galaxy A31,https://namu.wiki/w/%EA%B0%A4%EB%9F%AD%EC%8B%9C%20A31,,
216,samsung,SM-A516,갤럭시 A51,Galaxy A51,https://namu.wiki/w/SM-A516,,
217,samsung,SM-A716,갤럭시 A퀀텀,Galaxy A Quantum,https://namu.wiki/w/%EA%B0%A4%EB%9F%AD%EC%8B%9C%20A%20%ED%80%80%ED%85%80,,
218,samsung,SM-G781,갤럭시S20 FE,Galaxy S20 FE,https://namu.wiki/w/%EA%B0%A4%EB%9F%AD%EC%8B%9CS20,,
219,samsung,SM-N981,갤럭시노트20,GalaxyNote20,https://namu.wiki/w/%EA%B0%A4%EB%9F%AD%EC%8B%9C%20%EB%85%B8%ED%8A%B820,,
220,samsung,SM-N986,갤럭시노트20 울트라,GalaxyNote20 Ultra  ,https://namu.wiki/w/%EA%B0%A4%EB%9F%AD%EC%8B%9C%20%EB%85%B8%ED%8A%B820%20Ultra,,
221,lg,LM-Q310,Q31,LG Q31,https://namu.wiki/w/LG%20Q31,,
222,lg,LM-Q520,Q52,LG Q52,https://namu.wiki/w/Q52,,
223,lg,LM-F100,윙,LG Wing,https://namu.wiki/w/LG%20WING,,
224,samsung,SM-A102,갤럭시 A10e,Galaxy A10e,https://namu.wiki/w/%EA%B0%A4%EB%9F%AD%EC%8B%9C%20A10e,,
225,apple,A2403,아이폰12,iphone12,https://namu.wiki/w/iPhone%2012?from=%EC%95%84%EC%9D%B4%ED%8F%B0%2012,,
226,apple,A2407,아이폰12 Pro,iphone12 Pro,https://namu.wiki/w/iPhone%2012%20Pro?from=%EC%95%84%EC%9D%B4%ED%8F%B0%2012%20%ED%94%84%EB%A1%9C,,
227,apple,A2411,아이폰12 Pro Max,iphone12 Pro Max,https://namu.wiki/w/iPhone%2012%20Pro%20Max?from=%EC%95%84%EC%9D%B4%ED%8F%B0%2012%20%ED%94%84%EB%A1%9C%20%EB%A7%A5%EC%8A%A4,,
228,apple,A2399,아이폰12 Mini,iphone12 Mini,https://namu.wiki/w/iPhone%2012%20mini?from=%EC%95%84%EC%9D%B4%ED%8F%B0%2012%20%EB%AF%B8%EB%8B%88,,
229,samsung,SM-F916,갤럭시폴드2,Galaxy Fold2,https://namu.wiki/w/%EA%B0%A4%EB%9F%AD%EC%8B%9C%20Z%20%ED%8F%B4%EB%93%9C2,,
230,samsung,SM-A125,갤럭시 A12,Galaxy A12,https://namu.wiki/w/%EA%B0%A4%EB%9F%AD%EC%8B%9C%20A12,,
231,samsung,SM-G998,갤럭시S21 Ultra,Galaxy S21 Ultra,https://namu.wiki/w/%EA%B0%A4%EB%9F%AD%EC%8B%9C%20S21%20Ultra?from=S21%20Ultra,,
232,samsung,SM-G996,갤럭시S21 Plus,Galaxy S21 Plus,https://namu.wiki/w/%EA%B0%A4%EB%9F%AD%EC%8B%9C%20S21%2B?from=Galaxy%20S21%2B,,
233,samsung,SM-G991,갤럭시S21,Galaxy S21,https://namu.wiki/w/%EA%B0%A4%EB%9F%AD%EC%8B%9C%20S21?from=Galaxy%20S21,,
235,lg,LG-D821,넥서스5,Google Nexus5 16G  ,https://namu.wiki/w/%EB%84%A5%EC%84%9C%EC%8A%A45,,
236,lg,LG-F100,옵티머스 뷰,Optimus VU  ,https://namu.wiki/w/%EC%98%B5%ED%8B%B0%EB%A8%B8%EC%8A%A4%20%EB%B7%B0,,
237,lg,LG-F180,옵티머스 G,Optimus G  ,https://namu.wiki/w/LG-F180,,
238,lg,LG-F200,옵티머스 뷰2,Optimus VU2,https://namu.wiki/w/%EC%98%B5%ED%8B%B0%EB%A8%B8%EC%8A%A4%20%EB%B7%B0%20II,,
239,lg,LG-F220,옵티머스 GK,LG Optimus GK  ,https://namu.wiki/w/%EC%98%B5%ED%8B%B0%EB%A8%B8%EC%8A%A4%20GK,,
240,lg,LG-F240,옵티머스G 프로,Optimus G Pro  ,https://namu.wiki/w/%EC%98%B5%ED%8B%B0%EB%A8%B8%EC%8A%A4G,,
241,lg,LG-F300,엘지 뷰3,LG Vu3  ,https://namu.wiki/w/LG-F300,,
242,lg,LG-F570,엘지 밴드플레이,LG 밴드플레이  ,https://namu.wiki/w/LG%20Band%20Play,,
243,lg,LG-KU5400,프라다폰 3.0,PRADA 3.0  ,https://namu.wiki/w/%ED%94%84%EB%9D%BC%EB%8B%A4%ED%8F%B0%203.0,,
244,lg,LG-LU6500,옵티머스Q2,OPTIMUS Q2  ,https://namu.wiki/w/%EC%98%B5%ED%8B%B0%EB%A8%B8%EC%8A%A4Q2,,
245,lg,LM-Q730,Q70,LG Q70  ,https://namu.wiki/w/LG%20Q70,,
246,lg,LM-Q920,Q92,LG Q92  ,https://namu.wiki/w/LG%20Q92,,
247,lg,SU950,옵티머스 Z,Optimus Z  ,https://namu.wiki/w/%EC%98%B5%ED%8B%B0%EB%A8%B8%EC%8A%A4%20Z,,
249,samsung,SHW-M290,갤럭시 지오,GALAXY Gio  ,https://namu.wiki/w/%EA%B0%A4%EB%9F%AD%EC%8B%9C%20%EC%A7%80%EC%98%A4,,
250,samsung,SM-A105,갤럭시 A10,Samsung Galaxy A10  ,https://namu.wiki/w/%EA%B0%A4%EB%9F%AD%EC%8B%9C%20A10,,
251,samsung,SM-A217,갤럭시 A21s,Samsung Galaxy A21s  ,https://namu.wiki/w/%EA%B0%A4%EB%9F%AD%EC%8B%9C%20A21s,,
252,samsung,SM-A720,갤럭시 A7 2017,Samsung Galaxy A7 2017  ,https://namu.wiki/w/%EA%B0%A4%EB%9F%AD%EC%8B%9C%20A7(2017),,
253,samsung,SM-G150,갤럭시 폴더,Galaxy Folder  ,https://namu.wiki/w/%EA%B0%A4%EB%9F%AD%EC%8B%9C%20%ED%8F%B4%EB%8D%94,,
255,samsung,SM-J727,갤럭시 와이드2,Samsung Galaxy Wide 2  ,https://namu.wiki/w/%EA%B0%A4%EB%9F%AD%EC%8B%9C%20%EC%99%80%EC%9D%B4%EB%93%9C2,,
256,samsung,SM-M205,갤럭시 M20,Samsung Galaxy M20  ,https://namu.wiki/w/%EA%B0%A4%EB%9F%AD%EC%8B%9C%20M20,,
257,lg,LG-D329,LG L70,L70,https://namu.wiki/w/LG%20L70,,
258,lg,LG-D700,옵티머스 L9,LG Optimus L9,https://namu.wiki/w/%EC%98%B5%ED%8B%B0%EB%A8%B8%EC%8A%A4%20L9,,
259,lg,LG-F120,옵티머스 LTE 태그,LG Optimus LTE Tag,https://namu.wiki/w/%EC%98%B5%ED%8B%B0%EB%A8%B8%EC%8A%A4%20LTE%20TAG?from=%EC%98%B5%ED%8B%B0%EB%A8%B8%EC%8A%A4%20LTE%20%ED%83%9C%EA%B7%B8,,
260,lg,LG-F160,옵티머스 LTE2,LG Optimus LTE2,https://namu.wiki/w/%EC%98%B5%ED%8B%B0%EB%A8%B8%EC%8A%A4%20LTE%20II?from=%EC%98%B5%ED%8B%B0%EB%A8%B8%EC%8A%A4%20LTE2,,
261,lg,LG-F440,아이스크림 스마트,Ice cream Smart,https://namu.wiki/w/LG%20%EC%95%84%EC%9D%B4%EC%8A%A4%ED%81%AC%EB%A6%BC%20%EC%8A%A4%EB%A7%88%ED%8A%B8,,
262,lg,LG-F580,LG 젠틀,Gentle,https://namu.wiki/w/LG%20Gentle,,
263,lg,LG-KH5200,안드로-1,Eve,https://namu.wiki/w/%EC%95%88%EB%93%9C%EB%A1%9C-1,,
264,lg,LG-KU5900,옵티머스 블랙,Optimus Black,https://namu.wiki/w/%EC%98%B5%ED%8B%B0%EB%A8%B8%EC%8A%A4%20%EB%B8%94%EB%9E%99,,
265,lg,LG-LU3000,옵티머스 마하,Optimus Mach,https://namu.wiki/w/%EC%98%B5%ED%8B%B0%EB%A8%B8%EC%8A%A4%20%EB%A7%88%ED%95%98,,
266,lg,LG-SU640,옵티머스 LTE,Optimus LTE,https://namu.wiki/w/%EC%98%B5%ED%8B%B0%EB%A8%B8%EC%8A%A4%20LTE,,
267,lg,LG-LU6800,옵티머스 빅,Optimus Big,https://namu.wiki/w/%EC%98%B5%ED%8B%B0%EB%A8%B8%EC%8A%A4%20%EB%B9%85,,
268,lg,LG-T280,옵티머스 L7,LG Optimus L7,https://namu.wiki/w/%EC%98%B5%ED%8B%B0%EB%A8%B8%EC%8A%A4%20L7,,
269,lg,LG-KU3700,옵티머스 원,Optimus One,https://namu.wiki/w/%EC%98%B5%ED%8B%B0%EB%A8%B8%EC%8A%A4%20%EC%9B%90,,
270,lg,LG-SU660,옵티머스 2X,Optimus 2X,https://namu.wiki/w/%EC%98%B5%ED%8B%B0%EB%A8%B8%EC%8A%A4%202X,,
271,lg,LG-SU760,옵티머스 3D,Optimus 3D,https://namu.wiki/w/%EC%98%B5%ED%8B%B0%EB%A8%B8%EC%8A%A4%203D,,
272,lg,LG-SU870,옵티머스 3D 큐브,Optimus 3D MAX,https://namu.wiki/w/%EC%98%B5%ED%8B%B0%EB%A8%B8%EC%8A%A4%203D%20%ED%81%90%EB%B8%8C,,
273,lg,LG-SU880,옵티머스 EX,Optimus EX,https://namu.wiki/w/%EC%98%B5%ED%8B%B0%EB%A8%B8%EC%8A%A4%20EX,,
274,samsung,Nexus S,넥서스 S,Nexus S,https://namu.wiki/w/%EB%84%A5%EC%84%9C%EC%8A%A4%20S,,
275,samsung,SHW-M220,갤럭시 네오,Galaxy Neo,https://namu.wiki/w/%EA%B0%A4%EB%9F%AD%EC%8B%9C%20%EB%84%A4%EC%98%A4,,
