pl_id,pl_maker,pl_group,pl_model_code,pl_name,pl_model_name,pl_storage,pl_color_name,pl_hidden,storage_hidden,color_hidden,class_hidden,pl_color_code,pl_launch,pl_size,pl_display_inch,pl_display_cm,pl_weight,pl_battery,pl_front_camera,pl_back_camera,pl_external_storage,pl_review,pl_price,pl_score
49,samsung,j_series,SM-J510,갤럭시 J5 2016,Galaxy J5 2016,16,블랙|화이트|골드|핑크,0,0,0|0|0|0,0|0|0,#000000|#FFFFFF|#dedaca|#d9c2c8,2016.04,72.3 x 145.8 x 8.1,5.2,13.22,159,3100,500만,"1,300만","2 TB, 128 GB",\N,SKT:297000|KT:297000|LG:297000,
50,samsung,j_series,SM-J700,갤럭시 J7,Galaxy J7,16,블랙|화이트|골드,0,0,0|0|0,0|0|0,#000000|#FFFFFF|#dedaca,2015.11,79.1 x 152.2 x 7.9,5.5,13.9,171,3000,500만,"1,300만","2 TB, 128 GB",\N,KT:58080,
51,samsung,j_series,SM-J600,갤럭시 J6,Galaxy J6,32,블랙|퍼플|골드,0,0,0|0|0,0|0|0,#000000|#800080|#dedaca,2018.07,70.2 x 149.3 x 8.2,5.6,14.19,154,3000,800만,"1,300만","2 TB, 256 GB",\N,LG:330000,
52,samsung,j_series,SM-J500,갤럭시 J5,Galaxy J5,16,화이트,0,0,0,0|0|0,#FFFFFF,2015.07,73 x 142 x 8.5,5,12.7,149,2600,500만,"1,300만","2 TB, 128 GB",삼성 갤럭시 센스,SKT:264000,
53,samsung,j_series,SM-J415,갤럭시 J4 Plus,Galaxy J4 Plus,32,블랙|골드,0,0,0|0,0|0|0,#000000|#aa998b,2018.11,76.7 x 161.3 x 7.9,6,15.24,178,3300,500만,"1,300만","2 TB, 512 GB",\N,SKT:264000,
54,samsung,s_series,SM-G977,갤럭시S10 5G,GalaxyS10 5G,256|512,마제스틱 블랙|로얄 골드|크라운 실버,0,0|0,0|0|0,0|0|0,#000000|#f1d977|#c7c8ca,2019.03,77.1 x 162.6 x 7.9,6.7,17.02,198,4500,"1,000만","1,600만+1,200만+1,200만 (트리플)",미지원,\N,SKT:799700|KT:799700|LG:799700,
55,samsung,s_series,SM-G970,갤럭시S10e,GalaxyS10e,128,프리즘 블랙|프리즘 화이트|카나리아 옐로우,0,0,0|0|0,0|0|0,#000000|#FFFFFF|#42787a|#f9d251,2019.03,69.9 x 142.2 x 7.9,5.8,14.7,150,3100,"1,000만","1,600만+1,200만 (듀얼)","2 TB, 512 GB",\N,SKT:899800|KT:899800|LG:899800,
56,samsung,s_series,SM-G973,갤럭시S10,GalaxyS10,128|512,프리즘 블랙|프리즘 화이트|프리즘 그린|플라밍고 핑크,0,0|0,0|0|0|0,0|0|0,#000000|#FFFFFF|#42787a|#fd846e,2019.03,70.4 x 149.9 x 7.8,6.1,15.49,157,3400,"1,000만","1,600만+1,200만+1,200만 (트리플)","2 TB, 512 GB",\N,SKT:998800|KT:998800|LG:998800,
57,samsung,s_series,SM-G975,갤럭시S10 Plus,GalaxyS10 Plus,128|512|1T,프리즘 블랙|프리즘 화이트|세라믹 블랙|세라믹 화이트|플라밍고 핑크,0,0|0|0,0|0|0|0|0,0|0|0,#000000|#FFFFFF|#000000|#fcfbf9|#fd846e,2019.03,74.1 x 157.6 x 7.8,6.4,16.3,198,4100,"1,000만+800만 (듀얼)","1,600만+1,200만+1,200만 (트리플)","2 TB, 512 GB",\N,SKT:1196800|KT:1045000|LG:1397000,
58,samsung,s_series,SM-G960,갤럭시S9,GalaxyS9,64,미드나잇 블랙|코랄 블루|라일락 퍼플|버건디 레드|선라이즈 골드|폴라리스 블루,0,0,0|0|0|0|0|0,0|0|0,#000000|#4a86e8|#9900ff|#980000|#f1c232|#9fc5e8,2018.03,68.7 x 147.7 x 8.5,5.8,14.7,163,3000,800만,"1,200만","2 TB, 512 GB",\N,SKT:858000|KT:858000|LG:858000,
59,samsung,s_series,SM-G965,갤럭시S9 Plus,GalaxyS9 Plus,64|256,미드나잇 블랙|코랄 블루|라일락 퍼플|버건디 레드|선라이즈 골드,0,0|0,0|0|0|0|0,0|0|0,#000000|#4a86e8|#9900ff|#980000|#f1c232,2018.03,73.8 x 158.1 x 8.5,6.2,15.75,189,3500,800만,"1,200만+1,200만 (듀얼)","2 TB, 512 GB",\N,SKT:968000|KT:968000|LG:968000,
60,samsung,s_series,SM-G950,갤럭시S8,GalaxyS8,64,미드나잇 블랙|오키드 그레이|아크틱 실버|코랄 블루|메이플 골드,0,0,0|0|0|0|0,0|0|0,#000000|#b8b3c7|#cacdd4|#95b6e1|#dac9b9,2017.04,68.1 x 148.9 x 8,5.8,14.7,155,3000,800만,"1,200만","2 TB, 256 GB",\N,SKT:599500|KT:599500|LG:599500,
61,samsung,s_series,SM-G955,갤럭시S8 Plus,GalaxyS8 Plus,64|128,미드나잇 블랙|오키드 그레이|코랄 블루|메이플 골드,0,0|0|0,0|0|0|0,0|0|0,#000000|#b8b3c7|#95b6e1|#dac9b9,2017.04,73.4 x 159.5 x 8.1,5.8,14.7,173,3500,800만,"1,200만","2 TB, 256 GB",\N,SKT:899800|KT:899800|LG:899800,
62,samsung,s_series,SM-G930,갤럭시S7,GalaxyS7,32|64,블랙 오닉스|화이트 펄|골드 플래티넘|실버 티타늄,0,0|0,0|0|0|0,0|0|0,#000000|#FFFFFF|#dac9b9|#cacdd4,2016.03,69.6 x 142.4 x 7.9,5.1,13,152,3000,500만,"1,200만","2 TB, 256 GB",\N,SKT:699600|KT:495000|LG:699600,
63,samsung,s_series,SM-G935,갤럭시S7 Edge,GalaxyS7 Edge,32|64|128,블랙 오닉스|화이트 펄|골드 플래티넘|실버 티타늄,0,0|0|0,0|0|0|0,0|0|0,#000000|#FFFFFF|#dac9b9|#cacdd4,2016.12,72.6 x 150.9 x 7.7,5.5,13.9,157,3600,500만,"1,200만","2 TB, 256 GB",\N,SKT:755700 |KT:755700 |LG:755700,
64,samsung,s_series,SM-G928,갤럭시S6 Edge Plus,GalaxyS6 Edge Plus,32|64,블랙 사파이어|골드 플래티넘,0,0|0,0|0,0|0|0,#000000|#dac9b9,2015.08,75.8 x 154.4 x 6.9,5.7,14.4,153,3000,800만,"1,600만",미지원,\N,SKT:599500|KT:599500|LG:599500,
65,samsung,s_series,SM-G925,갤럭시S6 Edge,GalaxyS6 Edge,32|64|128,블랙 사파이어|화이트 펄|골드 플래티넘|그린 에메랄드,0,0|0|0,0|0|0|0,0|0|0,#000000|#FFFFFF|#dac9b9|#153127,2015.04,70.1 x 142.1 x 7,5.1,13,132,2600,500만,"1,600만",미지원,\N,SKT:735900|KT:735900|LG:735900,
66,samsung,s_series,SM-G920,갤럭시S6,GalaxyS6,32|64,블랙 사파이어|화이트 펄|골드 플래티넘|블루 토파즈,0,0|0,0|0|0|0,0|0|0,#000000|#FFFFFF|#dac9b9|#00BFFF,2015.04,70.5 x 143.4 x 6.8,5,13,138,2550,500만,"1,600만",미지원,\N,SKT:679800|KT:679800|LG:679800,
67,samsung,s_series,SM-G900,갤럭시S5,GalaxyS5,32,챠콜 블랙|시머리 화이트|일렉트릭 블루|코퍼 골드,0,0,0|0|0|0,0|0|0,#363b44|#FFFFFF|#4180ae|#826244,2014.03,72.5 x 142 x 8.1,5.1,13,145,2800,200만,"1,200만",최대 128 GB,\N,SKT:666600|KT:264000|LG:666600,
68,samsung,s_series,SM-G906,갤럭시S5 LTE-A,GalaxyS5 LTE-A,32,챠콜 블랙|시머리 화이트|일렉트릭 블루|코퍼 골드,0,0,0|0|0|0,0|0|0,#363b44|#FFFFFF|#4180ae|#826244,2014.06,72.5 x 142 x 8.1,5.1,13,145,2800,200만,"1,600만",최대 128 GB,\N,SKT:699600|KT:264000|LG:699600,
69,samsung,s_series,SHV-E300,갤럭시S4 ,GalaxyS4,16|32,블랙 미스트|화이트 프로스트,0,0|0,0|0,0|0|0,#000000|#FFFFFF,2013.04,69.8 x 136.6 x 7.9,5,12.7,130,2600,200만,"1,300만",최대 64GB,\N,SKT:550000|KT:550000|LG:550000,
70,samsung,s_series,SHV-E330,갤럭시S4 LTE-A,GalaxyS4 LTE-A,16|32,블랙 미스트|화이트 프로스트,0,0|0,0|0,0|0|0,#000000|#FFFFFF,2013.06,69.8 x 136.6 x 7.9,5,12.7,130,2600,200만,"1,300만",최대 64GB,\N,SKT:499400|KT:499400|LG:499400,
71,samsung,s_series,SHV-E470,갤럭시S4 Active,GalaxyS4 Active,32,그레이|화이트,0,0,0|0,0|0|0,#353535|#FFFFFF,2013.06,71.3 x 139.7 x 9.1,5,12.7,151,2600,200만,"1,300만",최대 64GB,\N,SKT:528000,
72,samsung,s_series,SM-C105,갤럭시S4 Zoom,GalaxyS4 Zoom,8|16,블랙 미스트|화이트 프로스트,0,0|0,0|0,0|0|0,#000000|#FFFFFF,2013.06,63.5 x 125.5 x 15.4,4.3,10.9,208,2330,190만,"1,600만",최대 64GB,\N,SKT:649000|KT:649000|LG:649000,
73,samsung,s_series,SHV-E370,갤럭시S4 Mini,GalaxyS4 Mini,8|16|32,블랙 미스트|화이트 프로스트,0,0|0|0,0|0,0|0|0,#000000|#FFFFFF,2013.06,61.3 x 124.6 x 8.94,4.3,10.9,107,1900,100만,800만,최대 64GB,\N,KT:256900,
74,samsung,s_series,SHV-E210,갤럭시S3 LTE,GalaxyS3 LTE,16|32,페블 블루|마블 화이트,0,0|0,0|0,0|0|0,#283C55|#FFFFFF,2012.07,70.6 x 136.6 x 8.6,4.8,12.1,138.5,2100,190만,800만,최대 64GB,\N,SKT:649000|KT:649000|LG:649000,
75,samsung,s_series,SHV-M440,갤럭시S3 3G,GalaxyS3 3G,16|32,페블 블루|마블 화이트,0,0|0,0|0,0|0|0,#283C55|#FFFFFF,2012.06,70.6 x 136.6 x 8.6,4.8,12.1,133,2100,190만,800만,최대 64GB,\N,SKT:649000|KT:649000|LG:649000,
76,samsung,s_series,SHW-M250,갤럭시S2 ,GalaxyS2,8|16|32,블랙|화이트,0,0|0|0,0|0,0|0|0,#000000|#FFFFFF,2011.04,66.1 x 125.3 x 8.5,4.3,10.9,121,1850,200만,800만,최대 64GB,\N,SKT:499400|KT:499400|LG:499400,
77,samsung,s_series,SHV-E120,갤럭시S2 HD LTE,GalaxyS2 HD LTE,16,블랙|화이트,0,0,0|0,0|0|0,#000000|#FFFFFF,2011.1,68.8 x 132.65 x 9.5,4.6,11.8,142,1850,200만,800만,최대 64GB,\N,\n,
78,samsung,s_series,SHV-E110,갤럭시S2 LTE,GalaxyS2 LTE,16,블랙|화이트,0,0,0|0,0|0|0,#000000|#FFFFFF,2011.09,68.8 x 129.8 x 9.49,4.5,11.4,135.5,1850,200만,800만,최대 64GB,\N,\n,
79,samsung,s_series,SHW-M110,갤럭시S,GalaxyS,16,블랙,0,0,0,0|0|0,#00000,2010.06,64.2 x 122.4 x 9.9,4,10.1,121,1500,30만,500만,최대 32GB,\N,\n,
80,samsung,s_series,SHW-M190,갤럭시S Hoppin,GalaxyS Hoppin,16,실버,0,0,0,0|0|0,#6C6C6E,2011.03,64 x 122.4 x 10.9,4,10.1,129,1500,30만,500만,최대 32GB,\N,\n,
81,samsung,samsung,SM-G720,갤럭시그랜드 맥스,GalaxyGrand Max,16,화이트,0,0,0,0|0|0,#FFFFFF,2015.01,74.8 x 146 x 7.95,5.25,13.3,163,2500,500만,800만,"2 TB, 64 GB",\N,SKT:319000|KT:316800|LG:319000,
82,samsung,samsung,SM-G710,갤럭시그랜드2,GalaxyGrand2,16,블랙|화이트,0,0,0|0,0|0|0,#000000|#FFFFFF,2014.03,75.3 x 146.8 x 8.95,5.25,13.3,163,2600,190만,800만,"2 TB, 64 GB",\N,SKT:200000|KT:374000|LG:374000,
83,samsung,samsung,SHV-E270,갤럭시그랜드,GalaxyGrand,8,화이트,0,0,0,0|0|0,#FFFFFF,2013.01,76.9 x 143.5 x 9.6,5,12.7,162,2000,190만,800만,"2 TB, 64 GB",\N,SKT:269500|KT:269500,
84,samsung,note_series,SM-N971,갤럭시노트10,GalaxyNote10,256,아우라 블랙|아우라 레드|아우라 핑크|아우라 글로우,0,0,0|0|0|0,0|0|0,"#000000|#ff4848|#fd846e|linear-gradient(to bottom, #ccbcc6 , #07b5cc)",2019.08,71.8 x 151 x 7.9,6.3,16,168,3500,"1,000만","1,600만+1,200만+1,200만 (트리플)",미지원,\N,SKT:1248500|KT:995500|LG:1248500,
85,samsung,note_series,SM-N976,갤럭시노트10 Plus,GalaxyNote10 Plus,256|512,아우라 블랙|아우라 화이트|아우라 블루|아우라 글로우,0,0|0,0|0|0|0,0|0|0,"#000000|#FFFFFF|#072676|linear-gradient(to bottom, #ccbcc6 , #07b5cc)",2019.08,77.2 x 162.33 x 7.9,6.8,17.2,196,4300,"1,000만","1,600만+1,200만+1,200만 (트리플)","2 TB, 1 TB",\N,SKT:1397000|KT:1144000|LG:1397000,
86,samsung,note_series,SM-N960,갤럭시노트9,GalaxyNote9,128|512,미드나잇 블랙|오션 블루|라벤더 퍼플|메탈릭 코퍼,0,0|0,0|0|0|0,0|0|0,#000000|#183168|#c19ebe|#d29880,2018.08,76.4 x 161.9 x 8.8,6.4,16.3,201,4000,800만,"1,200만+1,200만 (듀얼)","2 TB, 512 GB",\N,SKT:799700|KT:799700|LG:799700,
87,samsung,note_series,SM-N950,갤럭시노트8,GalaxyNote8,64|256,미드나잇 블랙|오키드 그레이|딥씨 블루|메이플 골드,0,0|0,0|0|0|0,0|0|0,#000000|#8f8b9c|#183168|#c4b69c,2017.09,74.8 x 162.5 x 8.6,6.3,16,195,3300,800만,"1,200만+1,200만 (듀얼)","2 TB, 256 GB",\N,SKT:1331000,
88,samsung,note_series,SM-N935,갤럭시노트FE,GalaxyNoteFE,64,블랙 오닉스|골드 플래티넘|실버 티타늄|블루 코랄,0,0,0|0|0|0,0|0|0,#000000|#dedaca|#cacdd4|#dedaca,2016.08,73.9 x 153.5 x 7.9,5.7,14.4,169,3200,500만,"1,200만","2 TB, 256 GB",\N,SKT:699600|KT:699600|LG:699600,
89,samsung,note_series,SM-N930,갤럭시노트7,GalaxyNote7,64,블랙|블루|골드|실버,0,0,0|0|0|0,0|0|0,\N,2016.08,\N,\N,\N,\N,\N,\N,\N,\N,\N,SKT:988900|KT:988900|LG:988900,
90,samsung,note_series,SM-N920,갤럭시노트5,GalaxyNote5,32|64|128,블랙|화이트|골드|실버,0,0|0|0,0|0|0|0,0|0|0,#000000|#ffffff|#f1d977|#e8e8e8,2015.08,76.1 x 153.2 x 7.6,5.7,14.4,171,3000,500만,"1,600만",미지원,\N,SKT:699600|KT:821700|LG:821700,
91,samsung,note_series,SM-N910,갤럭시노트4,GalaxyNote4,32,챠콜 블랙|프로스트 화이트|브론즈 골드|블로섭 핑크,0,0,0|0|0|0,0|0|0,#6b6e75|#FFFFFF|#aa998b|#d4bbc1,2014.09,78.6 x 153.5 x 8.5,5.7,14.4,176,3220,370만,"1,600만","2 TB, 128 GB",\N,SKT:799700|KT:316800|LG:799700,
92,samsung,note_series,SM-N916,갤럭시노트4 S-LTE,GalaxyNote4 S-LTE,32,챠콜 블랙|프로스트 화이트|실버|블로섭 핑크,0,0,0|0|0|0,0|0|0,#6b6e75|#FFFFFF|#d5a6bd|#d4bbc1,2014.12,78.6 x 153.5 x 8.5,5.7,14.4,176,3220,370만,"1,600만","2 TB, 128 GB",\N,SKT:799700,
93,samsung,note_series,SM-N915,갤럭시노트4 Edge,GalaxyNote4 Edge,32|64,챠콜 블랙|프로스트 화이트,0,0|0,0|0,0|0|0,#6b6e75|#FFFFFF,2014.1,82.4 x 151.3 x 8.3,5.6,14.19,174,3000,370만,"1,600만","2 TB, 128 GB",\N,SKT:699600|KT:699600|LG:699600,
94,samsung,note_series,SM-N900,갤럭시노트3,GalaxyNote3,32,제트블랙|클래식 화이트|블러쉬 핑크,0,0,0|0|0,0|0|0,#2B2D2E|#FFFFFF|#d4bbc1,2013.09,79.2 x 151.2 x 8.3,5.7,14.4,168,3200,200만,"1,300만","2 TB, 64 GB",\N,SKT:880000|KT:880000|LG:880000,
95,samsung,note_series,SM-N750,갤럭시노트3 Neo,GalaxyNote3 Neo,16,제트블랙|클래식 화이트|민트 레몬,0,0,0|0|0,0|0|0,#2B2D2E|#FFFFFF|#A3C6AA,2014.03,77.4 x 148.4 x 8.6,5.7,14.4,162,3200,200만,"1,300만",최대 64GB,\N,SKT:599500|KT:599500|LG:599500,
96,samsung,note_series,SHV-E250,갤럭시노트2,GalaxyNote2,16|32|64,티타늄 그레이|마블 화이트,0,0|0|0,0|0,0|0|0,#6b6e75|#FFFFFF,2012.09,80.5 x 151.1 x 9.4,5.55,14,180,3100,190만,800만,최대 64GB,\N,SKT:847000|KT:847000|LG:847000,
97,samsung,note_series,SHV-E160,갤럭시노트,GalaxyNote,16|32,카본 블랙|세라믹 화이트|베리 핑크,0,0|0,0|0|0,0|0|0,#1f262f|#ffffff|#c22352,2011.11,83 x 146.9 x 9.7,5.29,13.43,178,2500,200만,800만,최대 64GB,\N,\n,
98,samsung,samsung_folder,SM-G160,갤럭시폴더2,GalaxyFolder2,16|32,블랙|레드,0,0|0,0|0,0|0|0,#000000|#980000,2017.06,60.2 x 122 x 15.4,3.8,9.6,160,1950,500만,800만,미지원,\N,SKT:253000|KT:253000|LG:253000,
99,samsung,samsung,SM-G610,갤럭시 온7 2016,Galaxy On7 2016,16,블랙|골드,0,0,0|0,0|0|0,#000000|#f1d978,2016.11,75 x 151.7 x 8,5.5,13.9,167,3300,800만,"1,300만","2 TB, 64 GB",\N,SKT:344300,
100,samsung,samsung,SM-G600,갤럭시와이드,GalaxyWide,16,블랙|화이트|골드,0,0,0|0|0,0|0|0,#000000|#FFFFFF|#f1d978,2016.07,77.5 x 151.8 x 8.2,5.5,13.9,172,3500,500만,"1,300만","2 TB, 128 GB",\N,SKT:297000,
101,samsung,samsung,SM-J737,갤럭시와이드3,GalaxyWide3,32,블랙|블루 실버,0,0,0|0,0|0|0,#000000|#AEBDD2,2018.05,76.2 x 153.3 x 8.7,5.5,13.9,180,3300,"1,300만","1,300만","2 TB, 400 GB",\N,SKT:297000,
102,samsung,samsung,SM-G850,갤럭시알파,GalaxyAlpha,32,챠콜 블랙|다즐링 화이트|프로스티드 골드|슬릭 실버|스쿠버 블루,0,0,0|0|0|0|0,0|0|0,#6b6e75|#ffffff|#aa998b|#cacdd4|#57abde,2014.09,65.5 x 132.4 x 6.7,4.7,11.93,115,1860,210만,"1,200만",미지원,\N,SKT:528000|KT:58080|LG:495000,
103,samsung,samsung,SHW-M585,갤럭시코어,GalaxyCore,8,페블 블루|마블 화이트,0,0,0|0,0|0|0,#283C55|#FFFFFF,2014.07,67.6 x 129.3 x 8.95,4.3,10.9,124,1800,30만,500만,최대 64GB,\N,KT:176000,
104,samsung,samsung,SHW-M580,갤럭시코어 Safe,GalaxyCore Safe,8,페블 블루|마블 화이트,0,0,0|0,0|0|0,#283C55|#FFFFFF,2014.03,67.6 x 129.3 x 8.95,4.3,10.9,124,1800,30만,500만,최대 64GB,\N,\n,
105,samsung,samsung,SHW-M570,갤럭시코어 Advance,GalaxyCore Advance,8,블랙,0,0,0,0|0|0,#000000,2014.02,70.5 x 133.3 x 9.7,4.7,11.93,145,2000,50만,500만,최대 64GB,\N,SKT:269500,
106,samsung,samsung,SM-T255,갤럭시W,GalaxyW,16,블랙|화이트|레드,0,0,0|0|0,0|0|0,#000000|#FFFFFF|#553139,2014.06,99.6 x 191.8 x 8.8,7,17.78,245,3200,200만,800만,최대 64GB,\N,SKT:319000,
107,samsung,samsung,SM-C115,갤럭시줌2,GalaxyZoom2,8|16,챠콜 블랙|시머리 화이트|일렉트릭 블루,0,0|0,0|0|0,0|0|0,#6b6e75|#ffffff|#aa998b|#57abde,2014.05,70.8 x 137.5 x 16.6,4.8,12.1,200,2430,200만,"2,070만",최대 64GB,\N,SKT:297000,
